item,value
Registered final,FINAL: UNRESOLVED-TIE-WITH-22 | CARRIER-CUT-UNRESOLVED | TIE-16-19-22 | GATES-CLEAN | ALIAS-CLASS-IS-INDEX-MOD-3 | MAGNITUDE-NOT-SEPARATED | HORIZON-100-ONLY | SHARED-MS-1E-3 | NOT-A-ONE-VARIABLE-ABLATION | SIGMA-NARROW-PINNED | TRAIN-ARGMAX-DISAGREES(22) | D22-16-TIED | CLIFF-IS-A-BOUND | GAP-REPLICATES-CVG1
Validity gates passed,True
Predicted peak cut,22
Best observed cut,19
Registered leading set,"[16, 19, 22]"
Registered 2-SE bar (pp),0.9573130207199779
Registered SE of arm difference (pp),0.47865651035998896
Noise reference source,SIGMA_NARROW_pinned
In-batch scalar/layerwise gap (pp),30.827999999999996
Cut22 minus cut16 (pp),-0.2226666666666688
Cut22 minus cut23 (pp),33.14133333333333
Registered commit,5629b171d6450dfd4d559a40c5e6770722a67021
Registration UTC,2026-09-10T13:41:48Z
Submission UTC,2026-09-14T14:58:00Z
Scorer SHA256,aca0cdc314734ed9e8fc611ba42f774e7f76a40294df33de4883c59cd7047338
Uncertainty,Cell SD and SEM are empirical across three seeds. The registered peak set uses a common 2×SE bar with a frozen prior noise floor; it is not a simultaneous confidence interval.
Scope limitation,No individual meta-step tuning on VGG; this is a shared-ms comparison.
Scope limitation,Carrier identity versus junction class and versus magnitude remain unseparated.
Scope limitation,Only 100 epochs measured; no converged-horizon guarantee.
Scope limitation,PROBE=0: this batch does not measure beta guard occupancy or meta-gradient dynamics.
Scope limitation,"This is a cut-location experiment, not a replication of the three-tensor ResNet isolation."
Scope limitation,All seven cuts have two groups; no inference about group count.
