id,kind,outcome,outcome_label,corrected,correction_note,section,area,goal,comparison,why,result,reason,scope,batches,sources,original_question,register_page,mapping_rule,master_table_line
MT014,research,success,Goal met,Corrected,The goal was met: the tuned cosine baseline peaks near 3e-3. The earlier 1e-3 reading is the corrected claim.,1,Baseline comparisons,Locate a tuned non-meta baseline,AdamW cosine across seven peak learning rates,Establish the denominator before claiming improvements,Cosine peaks near 3e-3; earlier 1e-3 peak was wrong.,The earlier reference understated the scheduled baseline.,"R18/C10 augmented, 100 epochs; SW and fxcos differ in warmup.","[""SW"", ""fxcos""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 14, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 870, ""section"": ""30""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]","Is there a tuned non-meta baseline at all, and where does its learning rate peak?",24,approved-correction-split,
MT015,research,success,Goal met,,,1,Baseline comparisons,Test whether scheduling explains the baseline gap,"Fixed AdamW, MetaOptimize, AdamW cosine, SGDm cosine",Separate adaptation from scheduled learning-rate gains,Meta beats fixed AdamW by 1.551 pp; scheduled SGD wins by 1.807 pp.,The scheduled denominator changes the method comparison.,100 epochs; each selected peak; augmentation on; meta guard occupancy unavailable.,"[""i3a"", ""i3b"", ""i3c"", ""SW"", ""fxcos"", ""fx_adamw"", ""bl-sgd""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 15, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]",Is the method-vs-baseline gap caused by the cosine SCHEDULE?,24,register,
MT016,research,success,Goal met,,,1,Baseline comparisons,Validate the experimental harness,SGD momentum cosine against a registered accuracy band,Exclude a generally broken training harness,SGD reaches the expected band; the best primary cell is 95.124%.,A known reference recipe reproduces expected accuracy.,"R18/C10, 100 epochs, n=5 per learning rate.","[""bl-sgd"", ""i3b""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 16, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]","Does the experimental harness reproduce a known-good reference, i.e. is the deficit a property of the method rather than of our code?",24,register,
MT017,research,fail,Goal missed,,,1,Baseline comparisons,Close the baseline deficit with longer training,"Matched recipe families at 100, 300, 600 epochs",Test the short-horizon explanation,A roughly two-point deficit persists at 300 and 600 epochs.,More training did not close this configured baseline deficit.,100-epoch historical series was initially mismatched; 300/600 matched AdamW recipes.,"[""bg300"", ""bg600"", ""fxcos"", ""SW""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 17, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1121, ""section"": ""36""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]",Does the deficit close if MetaOptimize is given a longer horizon (the parent paper's implicit defence)?,24,register,
MT018,research,success,Goal met,,,1,Baseline comparisons,Replicate baseline superiority across architecture sizes,Cosine and best available meta arms on R34/R50,Check whether the deficit is R18-specific,Cosine remains stronger on R34 and R50; R34 pooling is selection-inflated.,The baseline advantage survives the tested architecture changes.,"C10, 100 epochs; baseline only two learning rates on each target.","[""f5cos"", ""r34f"", ""r34r""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 18, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]",Does the baseline's win survive a change of architecture (is it an R18 accident)?,25,register,
MT019,research,success,Goal met,,,1,Baseline comparisons,Audit comparison fairness,"Budget, tuning allocation, augmentation, and paper configuration",Find unresolved denominator mismatches,"Every registered fairness flaw is closed: budget and search budget (CORRECTIONS 30/44) and the parent's unaugmented setup on both datasets, where tuned SGD+momentum+cosine still beats the method by +3.6173 pp (CIFAR-10, cau1) and +12.1780 pp (CIFAR-100, cuc1).","Goal met: the deficit is not an artefact of the three audited unfairnesses (MASTER-TABLE row 19 moved OPEN -> CONFIRMED, RESCOPED at CORRECTIONS 229).","Limits that travel with the verdict: one baseline family (SGD+momentum+cosine); the paper's alpha0 1e-6 is untested on CIFAR-100 (on CIFAR-10 the paper's config m6 is 15.1160 pp behind); one granularity per batch, so meta-side tuning is bounded, not exhausted (cuc1's best cell sits at the ms-HIGH grid edge, +0.28 SE above the centre). No method-side counterweight, ResNet18 only, 100 epochs only, and the AUC reading reverses at the best baseline rung on both datasets.","[""pp"", ""PP"", ""ub9"", ""cau1"", ""cuc1""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 19, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 27020, ""section"": ""202""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 27544, ""section"": ""204""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 27973, ""section"": ""206""}, ""docs/CORRECTIONS.md [CORRECTIONS 229]""]","Was the method-vs-baseline comparison FAIR (matched budget, matched search budget, the paper's own setup)?",25,register,
MT020,research,success,Goal met,,,1,Baseline comparisons,Test the unaugmented baseline deficit,Seven SGD rates versus two MetaOptimize initializations,Address the parent-paper augmentation objection,Unaugmented SGD beats the better registered meta cell by 3.617 pp.,The registered CIFAR-10 deficit survives without augmentation.,"CAU1, n=3 fresh seeds per arm, one batch, 100 epochs; ingest uncommitted. Amended at CORRECTIONS 229: Outcome unchanged (DEFICIT-HOLDS on CIFAR-10). 'CIFAR-100 not licensed' and 'the FAIR row stays open' are answered by cuc1 (MT215, +12.1780 pp) and MT019's move to Goal met. This batch's own method side is still two alpha0 cells at one meta-stepsize.","[""cau1""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 20, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 27020, ""section"": ""202""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 27973, ""section"": ""206""}, ""docs/CORRECTIONS.md [CORRECTIONS 229]""]","Does the denominator survive in the parent paper's OWN, UNAUGMENTED setting -- does a TUNED non-meta baseline still beat MetaOptimize when AUGMENT=0 on every arm (the last fairness objection with teeth, 202)?",25,register,
MT026,research,success,Goal met,,,2,Step-size granularity,Measure a partitioning benefit,Scalar and partitioned arms with shared versus tuned steps,Separate partition choice from meta-step tuning,Tuning greatly shrinks the scalar-layerwise gap; a small residual remains.,A scoped partition benefit survives tuning controls.,"R18/C10 SGDm/Lion, a0=1e-3; multi-batch census versus later within-batch controls.","[""ms"", ""rs"", ""mx"", ""cfr1""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 26, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 12973, ""section"": ""153""}]",Does a finer partition of the step size help at all?,26,register,
MT027,research,success,Goal met,,,2,Step-size granularity,Test tolerance to excessive meta steps,Each partition’s loss above its selected meta-step peak,Measure robustness beyond peak accuracy,Scalar loses more under excessive meta steps; the old nodewise slope is stale.,The ordering survives the registered primary-metric reanalysis.,Canonical C10 surface; some slopes depend on n=1 cells; clamp caveats remain.,"[""ms"", ""rs"", ""hz9"", ""tw0"", ""at1"", ""cfr1"", ""cfr2""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 27, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 12973, ""section"": ""153""}]",Is the granularity axis just a reparameterisation of the meta-stepsize axis?,26,register,
MT028,research,mixed,Mixed,,,2,Step-size granularity,Resolve accuracy differences among tuned partitions,"Layerwise, six-block, nodewise and weightwise at selected meta steps",Avoid ranking noise and mixed batch compositions,Small coarse-partition differences remain vulnerable to batch composition; weightwise is lower.,The old 0.254-point ranking lacked a balanced batch comparison.,C10; original nodewise peak n=1 was later expanded; no blanket partition tie.,"[""ms"", ""mx"", ""rs"", ""hz9"", ""tw0"", ""wm9""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 28, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 2928, ""section"": ""87""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4975, ""section"": ""104""}]",Is the difference AMONG partitions (as opposed to partition-vs-none) resolvable?,26,register,
