id,area,goal,comparison,outcome,result,reason,scope,sources
MT019,Baseline comparisons,Audit comparison fairness,"Budget, tuning allocation, augmentation, and paper configuration",unresolved,Unaugmented CIFAR-10 is measured; method tuning and unaugmented CIFAR-100 remain limited.,Two method alpha0 cells do not bracket its unaugmented optimum.,CAU1 completed; historical NOT SUBMITTED text is stale. No new training implied.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 19, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 27020, ""section"": ""202""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 27544, ""section"": ""204""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 27973, ""section"": ""206""}]"
MT028,Step-size granularity,Resolve accuracy differences among tuned partitions,"Layerwise, six-block, nodewise and weightwise at selected meta steps",mixed,Small coarse-partition differences remain vulnerable to batch composition; weightwise is lower.,The old 0.254-point ranking lacked a balanced batch comparison.,C10; original nodewise peak n=1 was later expanded; no blanket partition tie.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 28, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 2928, ""section"": ""87""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4975, ""section"": ""104""}]"
MT030,Step-size granularity,Establish a base-optimizer interaction,"Granularity under SGDm, AdamW, and Lion at two initializations",mixed,Interaction depends on initialization; bo7 completed but does not establish a universal mechanism.,AdamW reverses at proper initialization; Lion also contradicts the mechanism.,100-epoch accuracy census and separate 20-epoch bo7 field measurement; never conflate.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 30, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4463, ""section"": ""101""}]"
MT039,Training duration,Establish an optimal-granularity reversal over time,Layerwise versus nodewise through epochs 10–40,mixed,The reversal holds at shared ms=1e-3; tuning reverses the trajectory.,The observation is real but the optimum interpretation does not survive.,"br6+bl5, seven within-batch differences, two ceilings; no independent budget randomization.","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 39, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 2751, ""section"": ""86""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4667, ""section"": ""102""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]"
MT040,Training duration,Generalize reversal shape and crossing time,Forty-one observed configuration cells across models and datasets,mixed,Rising differences occur in 24/29 eligible cells; crossing time does not generalize.,The direction is common within a stratum; timing varies.,27/41 all cells versus 24/29 adapting eligible cells; these are not new jobs.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 40, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]"
MT048,Initial-rate robustness,Test robustness across initial learning rates,MetaOptimize across the same seven initializations,mixed,Low-alpha0 accuracy stays near 91.6%; the highest-rate cell is not robust.,The low-end advantage holds; whole-grid flatness does not.,"R18/C10 AdamW/Adam six-block, augmented, n=3 per cell; guard caveat.","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 48, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1121, ""section"": ""44""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]"
MT057,Model and dataset scope,Transfer the granularity gain across model sizes,Scalar and layerwise on R10/R18/R34/R50,mixed,The gap shrinks with scale and reverses for R50 at small alpha0.,The gain is strongly model-dependent at the shared meta step.,sc matched first-three-seed comparison; R50 sc50 n=2; all C10 and shared ms.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 57, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]"
MT058,Model and dataset scope,Reproduce the ResNet-50 layerwise deficit,R50 scalar versus layerwise at two initializations,mixed,R50 layerwise loses 1.356 pp at 1e-6 but gains 1.130 at 1e-3.,Layerwise loses only at the smaller tested initialization.,sc50 n=2 per arm; later a2g3 completed and remained SPLIT/UNRESOLVED.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 58, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 10378, ""section"": ""141""}]"
MT061,Model and dataset scope,Separate startup delay from partition performance,Initialization ladders at 20 and 100 epochs,mixed,Startup effects are large; 100-epoch differences remain at the tested shared step.,The 20-epoch design also changes pooling and has one seed.,p2/p3 n=1; a0L 100-epoch n=2; explicitly separate shrink and plain arms.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 61, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 76, ""section"": ""8""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 241, ""section"": ""12""}]"
MT076,Proposed fixes,Establish a competitive tuned pooling method,Additive and plain controls with meta-step tuning,mixed,Older partial tuning favored plain; g4m later preserves a local additive advantage.,The original broad domination claim did not test the joint sweep.,No conclusion of universal pooling dominance; neither local result clears tuned non-meta baseline.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 76, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 692, ""section"": ""24""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 10378, ""section"": ""141""}]"
MT078,Proposed fixes,Transfer the additive optimum,"r curves across architecture, dataset, and initialization",mixed,R10/R34 small-alpha0 optima exist; C100 fails; R50 follow-up remains unresolved.,Transfer is conditional; the old “nowhere” claim is false.,R34 a0=1e-3 still lacks a full curve; a2g3 36 runs completed.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 78, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 10378, ""section"": ""141""}]"
MT079,Proposed fixes,Improve good partitions with meta-gradient pooling,zpool r sweeps for layerwise and weightwise,mixed,Weightwise is rescued; layerwise shows no material interior improvement.,"The benefit is a fine-partition rescue, with interior step-size confounding.","zpool 100-epoch ladder; zmpool only four 20-epoch endpoint checks, not a full sweep.","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 79, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 405, ""section"": ""15""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 598, ""section"": ""21""}]"
MT080,Proposed fixes,Identify a scaling law for optimal r,R10/R18/R34 argmaxes versus parameter count,unresolved,"Argmaxes decrease with size, but batch noise and grid resolution prevent a scaling law.",Cross-family peak margins are below the measured batch floor.,Small alpha0 only; proper initialization breaks the trend; no further compute was recommended.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 80, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 10378, ""section"": ""141""}]"
MT095,Meta-gradient measurements,Find reproducible architecture-linked row structure,"Anomalous vs clean runs, then row identity across seeds",mixed,"Anomalous runs have real structure, but the responsible row identities do not reproduce.",Within-run structure is strong; cross-seed identity stays near its null.,Conv-only R_row_cor7.216–49.412% in10 exceptional arms versus0–.448% clean; no dead-coordinate saturation in58 arms. Alternative hypotheses H_A and H_C fail. Coordinate time-series mechanism remains unmeasured; tensor-mean reconstruction was null and does not substitute for it.,"[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 95}, {""reference"": ""CORRECTIONS 89"", ""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 3207}, {""reference"": ""CORRECTIONS 90"", ""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 3320}, {""reference"": ""bin/c61_coord_probe.sh""}]"
MT097,Meta-gradient measurements,Locate a stable scale of marginal sign structure,Field block-size curves across trajectory and meta-step settings,mixed,Peaks cluster within one rung; four clean arms remain bounded by the ladder edge.,"Location is stable at tested resolution, but not fully bracketed.","E(u) measures excess explained marginal-sign variance in convolution tensors, not temporal correlation. 19 trajectory entries plus14 meta-step entries contain32 unique runs (ml5/probe_w_m2_s0 repeats). Four clean peaks at1/1024 are lower-edge bounds. The clean meta-step amplitude ratio1.524 narrowly passes1.50 without the invalid1e-2 rung; the415× range includes that rung. Free coarse-granularity coordinate fields remain unmeasured.","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 97}, {""reference"": ""CORRECTIONS 95.3–95.8"", ""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 3885}, {""reference"": ""CORRECTIONS 96.2"", ""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 3982}, {""reference"": ""results/c63_uladder.json""}, {""reference"": ""results/c67_ms_axis.json""}]"
