page,title,goal,comparison,why_test,status,scope,sources,file,kind,entry_ids
1,The complete experiment record,,,,overview,110 historical MASTER-TABLE entries plus one new VGG follow-up; no duplicate-hypothesis claim.,MASTER-TABLE; all_runs.csv; CVK2 registered result,figures/page-1.png,finding,
2,Hierarchy missed its accuracy goal,Improve accuracy by sharing step-size information.,Two-level vs plain layerwise; empirical Bayes vs additive r=1,Shared information was expected to stabilize learning.,bad,Historical tl1 NULL; fresh accuracy verified but local spread probes absent. EB primary FAILURE; validity gates passed.,campaign_evidence.original_main_idea,figures/page-2.png,finding,MT133; MT134
3,An additive benefit survives tuning,Keep an interior-r benefit after meta-step tuning.,Best interior r vs best endpoint; both step-tuned,Check whether the earlier gain was only a tuning artifact.,good,Local additive benefit does not establish the two-level shrinkage proposal. Error bars exclude tuning selection.,campaign_evidence.original_main_idea.g4m,figures/page-3.png,finding,MT073; MT132
4,Several proposed fixes did not deliver,Improve MetaOptimize using structured fixes.,Cosine priors / correlation grouping / pooling variants,Find an improvement beyond the original method.,mixed,"MT069-MT080  |  Exact operators, scopes and revised verdicts in the full register","MT069-MT080  |  Exact operators, scopes and revised verdicts in the full register",figures/page-4.png,finding,MT069; MT070; MT071; MT079; MT080
5,Initial-rate robustness: a real benefit,Raise average accuracy across the tested rate grid.,MetaOptimize vs fixed-rate and cosine AdamW,Measure how costly a poor initial rate can be.,good,"Descriptive plateau5 grid mean, not an intrinsic robustness constant. Cosine arm is cross-batch/account unbalanced; selection of grid matters.",i3a/i3b/i3c + SW; campaign_evidence.alpha0_robustness,figures/page-5.png,finding,MT047; MT048; MT049; MT050; MT051
6,Layerwise peaks; weightwise trails,Improve accuracy by making step-size groups finer.,Scalar / 6-block / layerwise / nodewise / weightwise,Test whether more step sizes keep helping.,bad,"Current complete canonical C10 SGDm/Lion a0=1e-3 corpus, cQ1 selection with explicitly flagged duplicate aliases collapsed; descriptive multi-batch cells. This changes nodewise1e-4 n32 to n29 but not the selected peak. Each peak selected over available canonical rungs, not a new registered comparison. Means differ from frozen old tables as the corpus grew. Cross-family and unbalanced cell composition means cell SEM alone cannot rank small differences. Some above-peak rungs have n=1; endpoints and sampled curves do not prove a global optimum. Canonical clamp box remains; at1 nodewise@3e-4 touches the lower bound, unlike tw0@1e-4. Historical frozen-beta ms1e-8 is only an approximation, not proof of no beta motion.",cQ1 selection; full_granularity_ladder,figures/page-6.png,finding,MT026; MT027; MT028; MT029; MT033; MT034
7,The old horizon reversal fails retuning,Reproduce the claimed reversal after tuning.,Nodewise minus layerwise: shared vs tuned meta steps,Separate a training-duration effect from poor tuning.,bad,"Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments. T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero.",hz9 + rs; br6 + bl5; CORRECTIONS115,figures/page-7.png,finding,MT039; MT040; MT041; MT063
8,Partition choice matters at similar counts,Improve accuracy while keeping group counts almost equal.,"chunk777 (14,421 groups) vs nodewise (14,420)",Test membership beyond the number of learned step sizes.,good,"Overlapping seeds
Only 2 disjoint seed sets",ResNet-18 / CIFAR-10  |  100 epochs  |  n = 3 / 3 / 3 / 4; +/- 1 SE,figures/page-8.png,finding,MT098
9,Model scale changes the size and sign,Transfer granularity gains across model scale.,Plain layerwise vs scalar within each model,Check whether the ResNet-18 result generalizes.,mixed,"Initial rate 1e-6
Shared meta step 1e-3",CIFAR-10  |  100 epochs  |  n = 3 / 3 / 3 / 2; +/- 1 SE,figures/page-9.png,finding,MT057; MT058
10,The granularity gap reaches Tiny-ImageNet,Replicate the granularity gap on a third dataset.,Layerwise vs scalar on Tiny-ImageNet,Check whether the CIFAR result extends to new images.,good,"Shared meta step1e-3 and alpha0=1e-6; dataset extension on ResNet, no target-specific tuning.",campaign_evidence.generalization_examples.tinyimagenet,figures/page-10.png,finding,MT136
11,"ImageNet-489: one win, two failed gates",Replicate granularity effects on larger images.,Scalar / 6-block / layerwise / nodewise on ImageNet-489,Test whether the result survives a larger dataset.,mixed,"in489g1 primary is COMMON80epochs (three seeds); in489g2 is84epochs(two seeds). Do not combine their means or uncertainty. 489classes, not1000; use batch-specific anchors for capture. in489g1 scalar/block arms fail the5% learned-floor gate: BLOCK/GRAN unresolved.",in489g1; MT140; CORRECTIONS152,figures/page-11.png,finding,MT140; MT151
12,Adaptation changes effective independence,Measure dependence after the step sizes adapt.,Frozen vs learned step sizes in four model/data families,Test whether millions of coordinates behave independently.,good,"SGDm, steady half of 20-epoch runs. Frozen/free values are rounded in the source; box-free values have four decimals. Never label the fraction “percent signal.”","CORRECTIONS59,68; FINDINGS50.2; effective_independence_families",figures/page-12.png,finding,MT087; MT088; MT089; MT090; MT091; MT092
13,A fine-scale field pattern repeats,Locate a repeatable scale in marginal-sign structure.,"Observed blocks vs size-matched, within-tensor shuffles",Look for a structural guide to partition design.,good,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured.",results/c63_uladder.json; results/c67_ms_axis.json; CORRECTIONS95-96,figures/page-13.png,finding,MT093; MT094; MT095; MT096; MT097
14,Field structure did not predict the partition,Predict a useful partition from the measured field.,Field-peak scale vs the best training-accuracy region,Turn a measurement into a working optimization method.,bad,"Report separation at least log10(512) = 2.70927 decades. The best training region is from the corrected historical comparison, not a newly located joint optimum. Do not present the old 16/21 layerwise peaks as current: that table used legacy last-20 accuracy.",CORRECTIONS96.6-96.8; bridge_current,figures/page-14.png,finding,MT098
15,The measurement window changed the story,Compare training budgets using the same tail metric.,Last 20 epochs vs last 5 epochs in a 20-epoch run,Keep startup speed separate from endpoint accuracy.,audit,"Representative headline configuration: same cells, different window. Across four strata, resolved argmaxes fall from four to zero. Pooled counts 27/25/26 describe a separate stratified summary.",CORRECTIONS96.6; window_metric_error,figures/page-15.png,finding,MT108; MT109; MT110
16,Granularity still matters after tuning,Verify the accuracy gap after fair meta-step tuning.,Layerwise vs scalar; each at its best tested step,Rule out a poor shared meta-step as the whole explanation.,good,Three seeds per cell. At initial LR1e-6 the scalar optimum is unbracketed; no corresponding tuned claim.,campaign_evidence.cifar100_meta_step_control,figures/page-16.png,finding,MT149; MT157
17,Mechanism tests eliminated several accounts,Explain where the granularity gap comes from.,Head / sign dynamics / named drivers / reduction,Combine interventions with recorded training dynamics.,mixed,"hb1 / ctd1 / crn1  |  See MT137, MT156, MT159-MT161 for exact scope","hb1 / ctd1 / crn1  |  See MT137, MT156, MT159-MT161 for exact scope",figures/page-17.png,finding,MT137; MT156; MT159; MT160; MT161
18,One tensor boundary changes accuracy,Locate a useful two-group split.,Cut after tensor 49 vs cut after tensor 50,A sharp accuracy drop can nominate a target for intervention.,good,Within tested grid only. Parameter balance and carrier location confounded. No comparison across different budgets.,cut_position_evidence.batches.cpk3,figures/page-18.png,finding,MT141; MT142; MT145; MT146; MT147; MT148; MT150
19,A tiny subset rescues ResNet accuracy,Recover layerwise-level accuracy with two groups.,Three chosen BN scales vs matched late-layer control,Test the nominated tensors by changing their grouping.,good,3 seeds per arm. Match to layerwise range; superiority unestablished. Identity vs direction magnitude unresolved.,isolation_evidence.experiments.cdep1,figures/page-19.png,finding,MT162; MT163
