metric,definition
plateau5,Arithmetic mean test accuracy over last five epoch records; units percent
pp,"Difference between two accuracies, in percentage points"
SE in plots,Sample SD across seeds divided by sqrt(n); does not include between-batch or tuning-selection uncertainty
Registered decision SE,Pre-registered pooled noise reference; differs from displayed within-cell SE
Rescue retention,"(ISO-scalar at250)/(ISO-scalar at100), within same ciso2 runs; descriptive because strict pinning gate failed"
GPU allocation-hours,Sum Slurm elapsed seconds times allocated GPU devices /3600; MIG allocations not normalized to full GPU
Logged runs,"Corpus rows, including cancelled, superseded and duplicate-labelled history; not independent replications"
legacy_plateau,"Mean over the last 20 epochs. At a 20-epoch budget it is the whole-run mean, a speed/AUC proxy. Preserve only in historical correction tables."
N_eff_fraction,"1/[1+(m-1)rho_s], a dimensionless effective-independence fraction for the measured sign statistic under an exchangeable-variance approximation. It is not percent signal or a performance predictor."
rho_s,"Excess temporal variance of the pooled negative-sign fraction over an independence floor, normalized by Bernoulli variance. Name whether the floor is pooled or heterogeneity-corrected."
rho_w,An implied per-weight correlation derived from the rung measurement at average group size k. It is distinct from the marginal-sign statistic E.
E_u,"100*(R_corrected(u)-mean R_null(u)), where R=SS_block|tensor/(SS_block|tensor+SS_within) after noise correction, applied to persistent per-coordinate negative-sign frequency. Units: percentage points of explained variance, not accuracy."
u,"Block size in output-channel row units: max(1,round(row_width*u)) coordinates per convolution-tensor block. u=1 is an output channel; u=1/512 spans 1–9 coordinates across these tensors."
E_res_pp,Monte Carlo SE of a within-tensor permutation-null mean using three random null draws. This is not training-seed SEM.
span,"The c55 steady-half time average of max(beta)-min(beta), then averaged across layerwise, nodewise and weightwise. Natural-log units. Terminal weightwise span is a different summary."
F_int,Observed output-channel by input-channel interaction sum of squares divided by the corresponding within-tensor permutation-null sum of squares. Dimensionless; registered threshold 1.10.
CVK2 registered leading set,Cuts within the registered 2-SE bar of the best observed mean; empty for a branch that precedes peak localization.
CVK2 uncertainty,Cell SD and SEM are empirical across three seeds. The registered peak set uses a common 2×SE bar with a frozen prior noise floor; it is not a simultaneous confidence interval.
