contrast_id,panel_id,source_pointer,a,b,a_cell_id,b_cell_id,metric,units,direction,comparison_kind,end_epoch_index_exclusive,inherited_context,reported_fields,difference_pp,n_pairs,sd_pp,empirical_se_pp,uncertainty_kind,registered_se_pp,registered_se_units,a_n,b_n
CONTRAST-2f1f220d125284c1,horizon_reversal,/panels/horizon_reversal/shared_ms/0/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,10,"{""end_epoch"":10,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":-2.891999999999996,""mean"":-3.9462857142857155,""min"":-5.219999999999999,""n"":7,""sd"":0.8010230363490844,""sem"":0.3027582498019328}",-3.9462857142857155,7,0.8010230363490844,0.3027582498019328,sample SEM of within-family paired seed differences,,,,
CONTRAST-6182b4788b9acd46,horizon_reversal,/panels/horizon_reversal/shared_ms/1/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,15,"{""end_epoch"":15,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":-0.9519999999999982,""mean"":-1.193714285714287,""min"":-1.5999999999999943,""n"":7,""sd"":0.2768909016717063,""sem"":0.10465492373139623}",-1.193714285714287,7,0.2768909016717063,0.10465492373139623,sample SEM of within-family paired seed differences,,,,
CONTRAST-aad82b0204fc4ca7,horizon_reversal,/panels/horizon_reversal/shared_ms/2/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,20,"{""end_epoch"":20,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":0.4660000000000082,""mean"":0.03542857142857209,""min"":-0.38400000000001455,""n"":7,""sd"":0.2862789182731118,""sem"":0.10820326047874833}",0.03542857142857209,7,0.2862789182731118,0.10820326047874833,sample SEM of within-family paired seed differences,,,,
CONTRAST-5e34be791115802d,horizon_reversal,/panels/horizon_reversal/shared_ms/3/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,25,"{""end_epoch"":25,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":1.2139999999999986,""mean"":0.7245714285714229,""min"":0.4679999999999893,""n"":7,""sd"":0.31738875066331645,""sem"":0.11996167188351742}",0.7245714285714229,7,0.31738875066331645,0.11996167188351742,sample SEM of within-family paired seed differences,,,,
CONTRAST-0fdcb7831664c496,horizon_reversal,/panels/horizon_reversal/shared_ms/4/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,30,"{""end_epoch"":30,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":1.3599999999999994,""mean"":1.0665714285714236,""min"":0.681999999999988,""n"":7,""sd"":0.23010929080392628,""sem"":0.086973136833233}",1.0665714285714236,7,0.23010929080392628,0.086973136833233,sample SEM of within-family paired seed differences,,,,
CONTRAST-d64190d1cd79f712,horizon_reversal,/panels/horizon_reversal/shared_ms/5/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,40,"{""end_epoch"":40,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":1.6200000000000045,""mean"":1.2580000000000016,""min"":0.9839999999999947,""n"":7,""sd"":0.20734512292311255,""sem"":0.07836909011666768}",1.2580000000000016,7,0.20734512292311255,0.07836909011666768,sample SEM of within-family paired seed differences,,,,
CONTRAST-6b99a7cc626962ae,horizon_reversal,/panels/horizon_reversal/individually_tuned/0/node_minus_lay,nodewise,layerwise,CELL-d5963c745ed6c0b1,CELL-f055986191c7e54d,plateau5_difference,percentage_points,a minus b,unpaired,10,"{""end_epoch"":10,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":3.444400000000009,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.3309316545753819}",3.444400000000009,,,0.3309316545753819,"unpaired cell SEM; registered SE, if present, is separate",,,5,5
CONTRAST-420d90f0f31b5c77,horizon_reversal,/panels/horizon_reversal/individually_tuned/1/node_minus_lay,nodewise,layerwise,CELL-7b4d7f9073d27091,CELL-99c90e23afde7a4e,plateau5_difference,percentage_points,a minus b,unpaired,20,"{""end_epoch"":20,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":1.3491999999999962,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.22208556909443833}",1.3491999999999962,,,0.22208556909443833,"unpaired cell SEM; registered SE, if present, is separate",,,5,5
CONTRAST-986a7111319b8d90,horizon_reversal,/panels/horizon_reversal/individually_tuned/2/node_minus_lay,nodewise,layerwise,CELL-954feb9826142daf,CELL-792db9756756ce80,plateau5_difference,percentage_points,a minus b,unpaired,30,"{""end_epoch"":30,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":0.7844000000000051,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.2876987313145488}",0.7844000000000051,,,0.2876987313145488,"unpaired cell SEM; registered SE, if present, is separate",,,5,5
CONTRAST-4cb28d6a506a76f7,horizon_reversal,/panels/horizon_reversal/individually_tuned/3/node_minus_lay,nodewise,layerwise,CELL-8fad9c5535b77e30,CELL-d695d18070ee6e88,plateau5_difference,percentage_points,a minus b,unpaired,40,"{""end_epoch"":40,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""a"":""nodewise"",""b"":""layerwise"",""difference_pp"":0.6700000000000017,""interpretation"":""a minus b; SE excludes batch offsets and selection uncertainty"",""unpaired_seed_sem_pp"":0.166734279618801}",0.6700000000000017,,,0.166734279618801,"unpaired cell SEM; registered SE, if present, is separate",,,5,5
