panel_id,occurrence_id,primary_cell_id,legacy_cell_id,cell_label,selection_context,source_pointer,inherited_context,batch_family_counts,excluded_duplicate_aliases,configuration
alpha0_robustness,OCC-3311fb016ed3c778,CELL-9716fedd6d53d5fc,CELL-fda1cf8b7f26c009,constant-1e-6,reported cell context,/panels/alpha0_robustness/cells/0,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-6"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-fecc20cb16692397,CELL-9836c2bbcc048bc8,CELL-7e84cc158bb49c0e,constant-1e-5,reported cell context,/panels/alpha0_robustness/cells/1,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-5"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-ce5bede7195505a2,CELL-11fa4e6e89234849,CELL-cf81840fb544603b,constant-1e-4,reported cell context,/panels/alpha0_robustness/cells/2,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-4"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-d172ad0bfaf038b7,CELL-c61b239053bb12d3,CELL-bede4e0f8c26e04e,constant-3e-4,reported cell context,/panels/alpha0_robustness/cells/3,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""3e-4"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-48a75d7f77ae35d9,CELL-e3bce970571cb7b2,CELL-d6c5b6d09036670c,constant-1e-3,reported cell context,/panels/alpha0_robustness/cells/4,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-3"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-94db506f21286341,CELL-e73f7db5e8f43c0d,CELL-b8c531a724ed6e51,constant-1e-2,reported cell context,/panels/alpha0_robustness/cells/5,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-2"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-ee94ee86d4bc8d60,CELL-f9804635c7534107,CELL-60a9c0d0e9124f24,constant-1e-1,reported cell context,/panels/alpha0_robustness/cells/6,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-1"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""none"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""?"",""hier"":"""",""lam"":""na"",""meta"":""?"",""meta_stepsize"":"""",""network"":""ResNet18""}"
alpha0_robustness,OCC-0de18a59532b891d,CELL-72305fa2541b97be,CELL-45025f389de0ba31,meta-1e-6,reported cell context,/panels/alpha0_robustness/cells/7,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-6"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""-15:-2.3026"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""resnet18_blocks"",""hier"":"""",""lam"":""na"",""meta"":""Adam"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}"
alpha0_robustness,OCC-23080352e5be872d,CELL-9d13917ab48e1d22,CELL-34284ea043e4c1ac,meta-1e-5,reported cell context,/panels/alpha0_robustness/cells/8,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-5"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""-15:-2.3026"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""resnet18_blocks"",""hier"":"""",""lam"":""na"",""meta"":""Adam"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}"
alpha0_robustness,OCC-0469e1ea5497655c,CELL-134171678af27b82,CELL-b43d5a7e18a44e1f,meta-1e-4,reported cell context,/panels/alpha0_robustness/cells/9,"{""definition"":""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""fresh_primary_note"":""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.""}",,,"{""alpha0"":""1e-4"",""augment"":""1"",""base"":""AdamW"",""batch_size"":""100"",""beta_clip"":""-15:-2.3026"",""dataset"":""CIFAR10"",""epochs_requested"":""100"",""eta_ratio"":""na"",""gamma"":""1"",""granularity"":""resnet18_blocks"",""hier"":"""",""lam"":""na"",""meta"":""Adam"",""meta_stepsize"":""1e-3"",""network"":""ResNet18""}"
