panel_id,cell_id,cell_label,split,metric,epoch_index,completed_epochs,n,accuracy_mean,accuracy_sd_pp,accuracy_se_pp,source_pointer,independence_note
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,0,1,3,51.266666666666666,2.436110287596467,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,1,2,3,62.84,2.6509055056716018,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,2,3,3,73.97666666666667,1.0392465219250588,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,3,4,3,76.71333333333334,1.7165760493882396,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,4,5,3,74.84666666666666,4.11611872196774,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,5,6,3,78.34666666666666,0.7805340052382952,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,6,7,3,78.4,0.8166394553289736,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,7,8,3,78.73333333333333,1.0500158728958946,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,8,9,3,79.74333333333334,0.9350044563173684,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,9,10,3,79.80666666666666,1.5836771556517821,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,10,11,3,81.19,0.7374957626996913,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,11,12,3,82.65666666666667,0.2074447717666858,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,12,13,3,83.65,0.814309523461444,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,13,14,3,84.49666666666667,0.29737742572921705,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,14,15,3,84.84666666666666,0.23860706890897843,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,15,16,3,84.80666666666667,0.1401189970465587,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,16,17,3,84.89666666666668,0.12662279942148355,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,17,18,3,84.97333333333333,0.04932882862316322,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,18,19,3,85.00666666666666,0.13613718571107783,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,19,20,3,85.06666666666666,0.2023198787399143,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,20,21,3,85.11666666666667,0.1530795000427369,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,21,22,3,85.18333333333334,0.3017173069834278,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,22,23,3,85.09,0.18330302779823435,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,23,24,3,85.19333333333333,0.25324559884297104,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,24,25,3,85.11333333333333,0.24006943440041484,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,25,26,3,85.17666666666666,0.17616280348965074,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,26,27,3,85.19666666666667,0.16165807537309881,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,27,28,3,85.20333333333333,0.22278539748675408,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,28,29,3,85.16,0.16093476939431234,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,29,30,3,85.22666666666667,0.1817507450695454,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,30,31,3,85.27,0.22605309110914565,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,31,32,3,85.21666666666667,0.2804163571073115,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,32,33,3,85.20333333333333,0.20033305601756204,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,33,34,3,85.21666666666667,0.15143755588800656,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,34,35,3,85.31,0.1609347693943044,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,35,36,3,85.27333333333334,0.3082747692130098,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,36,37,3,85.35,0.2338803112705348,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,37,38,3,85.34,0.292061637330211,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,38,39,3,85.3,0.1732050807568861,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,39,40,3,85.31333333333333,0.2052640575778779,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,40,41,3,85.27333333333334,0.1703917055884244,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,41,42,3,85.26,0.2066397831977136,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,42,43,3,85.3,0.3500000000000014,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,43,44,3,85.28333333333333,0.3108590248542495,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,44,45,3,85.33,0.34073450074801304,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,45,46,3,85.34,0.19974984355438152,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,46,47,3,85.41666666666667,0.12741009902411257,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,47,48,3,85.33333333333333,0.2650157228040133,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,48,49,3,85.31666666666666,0.18339392937971602,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,49,50,3,85.33666666666666,0.25106440076867353,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,50,51,3,85.33,0.24331050121192943,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,51,52,3,85.34666666666666,0.21594752448993676,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,52,53,3,85.43,0.22068076490713803,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,53,54,3,85.28,0.13000000000000475,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,54,55,3,85.30666666666666,0.1858314648635519,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,55,56,3,85.32,0.20999999999999983,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,56,57,3,85.27333333333334,0.15502687938978105,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,57,58,3,85.4,0.17058722109232627,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,58,59,3,85.34333333333333,0.21779194965226284,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
cau1,CELL-54f8564674b60cde,cau1-lr0005,test,single_epoch_accuracy,59,60,3,85.37666666666667,0.2454248017893303,,/panels/cau1/cells/0/test_curve,epoch measurements from the same runs
