contrast_id,panel_id,source_pointer,a,b,a_cell_id,b_cell_id,metric,units,direction,comparison_kind,end_epoch_index_exclusive,inherited_context,reported_fields,difference_pp,n_pairs,sd_pp,empirical_se_pp,registered_se_pp,registered_se_units,uncertainty_kind,a_n,b_n
CONTRAST-ecc33df66f686361,schedule_controls,/panels/schedule_controls/verified_counterweight/meta_minus_fixed,meta-3e-4,constant-3e-4,CELL-ed97f4c0e9062ec2,CELL-c61b239053bb12d3,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""caveat"":""Historical guard occupancy unmeasured for i3b; do not call this guard-free."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep. Cross-batch optima, not one matched batch. Plateau5."",""source"":""CSV i3a-3e4/i3b-3e4/bl-sgd-01; CLOSEOUT4; MASTER-TABLE15-16""}","{""a"":""meta-3e-4"",""b"":""constant-3e-4"",""difference_pp"":1.5506666666666717,""empirical_unpaired_seed_se"":0.12679467216286452,""positive_means"":""first named arm minus second named arm"",""registered_se"":null,""registered_se_units"":null}",1.5506666666666717,,,0.12679467216286452,,,"unpaired cell SEM; registered SE, if present, is separate",3,3
CONTRAST-d53535d19f5f63ff,schedule_controls,/panels/schedule_controls/verified_counterweight/sgd_minus_meta,bl-sgd-01,meta-3e-4,CELL-70fe95bc90165db3,CELL-ed97f4c0e9062ec2,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""caveat"":""Historical guard occupancy unmeasured for i3b; do not call this guard-free."",""scope"":""ResNet18/CIFAR10,AUGMENT1,100ep. Cross-batch optima, not one matched batch. Plateau5."",""source"":""CSV i3a-3e4/i3b-3e4/bl-sgd-01; CLOSEOUT4; MASTER-TABLE15-16""}","{""a"":""bl-sgd-01"",""b"":""meta-3e-4"",""difference_pp"":1.8070666666666568,""empirical_unpaired_seed_se"":0.09500984744283678,""positive_means"":""first named arm minus second named arm"",""registered_se"":null,""registered_se_units"":null}",1.8070666666666568,,,0.09500984744283678,,,"unpaired cell SEM; registered SE, if present, is separate",5,3
CONTRAST-6fdb5fb04808d2e1,granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/tuned,cru1-lay-m1e-4-a1e-3,cru1-sc-m1e-4-a1e-3,CELL-69340bd39bd35ecc,CELL-e26b2212618b0469,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""scope"":""ResNet18_c100/CIFAR100,AUGMENT1,100ep,3freshseeds15-17/cell. Main plot uses alpha0=1e-3 only."",""token"":""1e-3:GAP-SHRINKS;1e-6:UNRESOLVED-OPTIMUM-AT-LADDER-EDGE;ALIAS-BROKEN""}","{""a"":""cru1-lay-m1e-4-a1e-3"",""b"":""cru1-sc-m1e-4-a1e-3"",""difference_pp"":35.29066666666667,""empirical_unpaired_seed_se"":0.2693432341414558,""positive_means"":""first named arm minus second named arm"",""registered_se"":null,""registered_se_units"":null}",35.29066666666667,,,0.2693432341414558,,,"unpaired cell SEM; registered SE, if present, is separate",3,3
CONTRAST-929b92f01bf7befb,granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/shared_ms1e3,cru1-lay-m1e-3-a1e-3,cru1-sc-m1e-3-a1e-3,CELL-8967fbe78b50e06a,CELL-8449e8fa4da1cd3d,plateau5_difference,percentage_points,a minus b,unpaired,100,"{""scope"":""ResNet18_c100/CIFAR100,AUGMENT1,100ep,3freshseeds15-17/cell. Main plot uses alpha0=1e-3 only."",""token"":""1e-3:GAP-SHRINKS;1e-6:UNRESOLVED-OPTIMUM-AT-LADDER-EDGE;ALIAS-BROKEN""}","{""a"":""cru1-lay-m1e-3-a1e-3"",""b"":""cru1-sc-m1e-3-a1e-3"",""difference_pp"":47.46066666666666,""empirical_unpaired_seed_se"":0.41997883544557657,""positive_means"":""first named arm minus second named arm"",""registered_se"":null,""registered_se_units"":null}",47.46066666666666,,,0.41997883544557657,,,"unpaired cell SEM; registered SE, if present, is separate",3,3
CONTRAST-2f1f220d125284c1,horizon_reversal,/panels/horizon_reversal/shared_ms/0/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,10,"{""end_epoch"":10,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":-2.891999999999996,""mean"":-3.9462857142857155,""min"":-5.219999999999999,""n"":7,""sd"":0.8010230363490844,""sem"":0.3027582498019328}",-3.9462857142857155,7,0.8010230363490844,0.3027582498019328,,,sample SEM of within-family paired seed differences,,
CONTRAST-6182b4788b9acd46,horizon_reversal,/panels/horizon_reversal/shared_ms/1/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,15,"{""end_epoch"":15,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":-0.9519999999999982,""mean"":-1.193714285714287,""min"":-1.5999999999999943,""n"":7,""sd"":0.2768909016717063,""sem"":0.10465492373139623}",-1.193714285714287,7,0.2768909016717063,0.10465492373139623,,,sample SEM of within-family paired seed differences,,
CONTRAST-aad82b0204fc4ca7,horizon_reversal,/panels/horizon_reversal/shared_ms/2/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,20,"{""end_epoch"":20,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":0.4660000000000082,""mean"":0.03542857142857209,""min"":-0.38400000000001455,""n"":7,""sd"":0.2862789182731118,""sem"":0.10820326047874833}",0.03542857142857209,7,0.2862789182731118,0.10820326047874833,,,sample SEM of within-family paired seed differences,,
CONTRAST-5e34be791115802d,horizon_reversal,/panels/horizon_reversal/shared_ms/3/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,25,"{""end_epoch"":25,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":1.2139999999999986,""mean"":0.7245714285714229,""min"":0.4679999999999893,""n"":7,""sd"":0.31738875066331645,""sem"":0.11996167188351742}",0.7245714285714229,7,0.31738875066331645,0.11996167188351742,,,sample SEM of within-family paired seed differences,,
CONTRAST-0fdcb7831664c496,horizon_reversal,/panels/horizon_reversal/shared_ms/4/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,30,"{""end_epoch"":30,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":1.3599999999999994,""mean"":1.0665714285714236,""min"":0.681999999999988,""n"":7,""sd"":0.23010929080392628,""sem"":0.086973136833233}",1.0665714285714236,7,0.23010929080392628,0.086973136833233,,,sample SEM of within-family paired seed differences,,
CONTRAST-d64190d1cd79f712,horizon_reversal,/panels/horizon_reversal/shared_ms/5/node_minus_lay,nodewise,layerwise,,,plateau5_difference,percentage_points,a minus b,paired,40,"{""end_epoch"":40,""registered_result"":""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero."",""scope"":""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.""}","{""max"":1.6200000000000045,""mean"":1.2580000000000016,""min"":0.9839999999999947,""n"":7,""sd"":0.20734512292311255,""sem"":0.07836909011666768}",1.2580000000000016,7,0.20734512292311255,0.07836909011666768,,,sample SEM of within-family paired seed differences,,
