panel_id,source_pointer,value_type,value
alpha0_robustness,/panels/alpha0_robustness/grid_means/constant/plateau5,float,72.88485714285714
alpha0_robustness,/panels/alpha0_robustness/grid_means/constant/plateau20,float,72.76547619047619
alpha0_robustness,/panels/alpha0_robustness/grid_means/constant/six_cell_excluding_1e1/plateau5,float,82.87611111111111
alpha0_robustness,/panels/alpha0_robustness/grid_means/constant/six_cell_excluding_1e1/plateau20,float,82.79344444444445
alpha0_robustness,/panels/alpha0_robustness/grid_means/meta/plateau5,float,87.10619047619048
alpha0_robustness,/panels/alpha0_robustness/grid_means/meta/plateau20,float,87.05771428571428
alpha0_robustness,/panels/alpha0_robustness/grid_means/meta/six_cell_excluding_1e1/plateau5,float,91.76488888888889
alpha0_robustness,/panels/alpha0_robustness/grid_means/meta/six_cell_excluding_1e1/plateau20,float,91.72338888888889
alpha0_robustness,/panels/alpha0_robustness/grid_means/cosine/plateau5,float,83.94745238095238
alpha0_robustness,/panels/alpha0_robustness/grid_means/cosine/plateau20,float,81.9632380952381
alpha0_robustness,/panels/alpha0_robustness/grid_means/cosine/six_cell_excluding_1e1/plateau5,float,87.08502777777778
alpha0_robustness,/panels/alpha0_robustness/grid_means/cosine/six_cell_excluding_1e1/plateau20,float,86.782
alpha0_robustness,/panels/alpha0_robustness/definition,str,"Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."
alpha0_robustness,/panels/alpha0_robustness/scope,str,"ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3."
alpha0_robustness,/panels/alpha0_robustness/caveats/0,str,"The historical +4.941 and +5.094 pp results use plateau20; plateau5 recalculation is newly descriptive, not a new registered verdict."
alpha0_robustness,/panels/alpha0_robustness/caveats/1,str,Cosine arm is a cross-batch SW+i3c assembly. A/B are account-balanced2:1; C sits wholly on Account1.
alpha0_robustness,/panels/alpha0_robustness/caveats/2,str,"Seven grid points spanning five decades, not seven decades. Grid mean describes this chosen grid, not an intrinsic robustness constant."
alpha0_robustness,/panels/alpha0_robustness/caveats/3,str,Augmented meta arms have no stored probe occupancy; do not inherit cau1 guard-free finding across settings.
alpha0_robustness,/panels/alpha0_robustness/fresh_primary_note,str,"Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid."
alpha0_300_extremes,/panels/alpha0_300_extremes/scope,str,"300-epoch independent-budget follow-up at four alpha0 extremes, constant and meta only, n=2. Compare corresponding 100-epoch cells; this is not a completed three-arm 300-epoch grid."
alpha0_300_extremes,/panels/alpha0_300_extremes/source_refs/0/path,str,repository/docs/MASTER-TABLE.md
alpha0_300_extremes,/panels/alpha0_300_extremes/source_refs/0/line,int,50
alpha0_300_extremes,/panels/alpha0_300_extremes/source_refs/0/section,NoneType,
alpha0_300_extremes,/panels/alpha0_300_extremes/source_refs/1/path,str,repository/docs/CORRECTIONS.md
alpha0_300_extremes,/panels/alpha0_300_extremes/source_refs/1/line,int,1285
alpha0_300_extremes,/panels/alpha0_300_extremes/source_refs/1/section,str,42
schedule_controls,/panels/schedule_controls/scope,str,"Fixed, meta, and cosine are separate recipes. Keep SW warmup10000 and fxcos warmup2500 in separate series; both use COS_TOTAL50000. i3a is COS_TOTAL1e8, warmup0."
schedule_controls,/panels/schedule_controls/source_refs/0/path,str,repository/docs/MASTER-TABLE.md
schedule_controls,/panels/schedule_controls/source_refs/0/line,int,15
schedule_controls,/panels/schedule_controls/source_refs/0/section,NoneType,
schedule_controls,/panels/schedule_controls/source_refs/1/path,str,repository/docs/CLOSEOUT.md
schedule_controls,/panels/schedule_controls/source_refs/1/line,int,52
schedule_controls,/panels/schedule_controls/source_refs/1/section,NoneType,
schedule_controls,/panels/schedule_controls/verified_counterweight/meta_minus_fixed/positive_means,str,first named arm minus second named arm
schedule_controls,/panels/schedule_controls/verified_counterweight/meta_minus_fixed/a,str,meta-3e-4
schedule_controls,/panels/schedule_controls/verified_counterweight/meta_minus_fixed/b,str,constant-3e-4
schedule_controls,/panels/schedule_controls/verified_counterweight/meta_minus_fixed/difference_pp,float,1.5506666666666717
schedule_controls,/panels/schedule_controls/verified_counterweight/meta_minus_fixed/empirical_unpaired_seed_se,float,0.12679467216286452
schedule_controls,/panels/schedule_controls/verified_counterweight/meta_minus_fixed/registered_se,NoneType,
schedule_controls,/panels/schedule_controls/verified_counterweight/meta_minus_fixed/registered_se_units,NoneType,
schedule_controls,/panels/schedule_controls/verified_counterweight/sgd_minus_meta/positive_means,str,first named arm minus second named arm
schedule_controls,/panels/schedule_controls/verified_counterweight/sgd_minus_meta/a,str,bl-sgd-01
schedule_controls,/panels/schedule_controls/verified_counterweight/sgd_minus_meta/b,str,meta-3e-4
schedule_controls,/panels/schedule_controls/verified_counterweight/sgd_minus_meta/difference_pp,float,1.8070666666666568
schedule_controls,/panels/schedule_controls/verified_counterweight/sgd_minus_meta/empirical_unpaired_seed_se,float,0.09500984744283678
schedule_controls,/panels/schedule_controls/verified_counterweight/sgd_minus_meta/registered_se,NoneType,
schedule_controls,/panels/schedule_controls/verified_counterweight/sgd_minus_meta/registered_se_units,NoneType,
schedule_controls,/panels/schedule_controls/verified_counterweight/scope,str,"ResNet18/CIFAR10,AUGMENT1,100ep. Cross-batch optima, not one matched batch. Plateau5."
schedule_controls,/panels/schedule_controls/verified_counterweight/source,str,CSV i3a-3e4/i3b-3e4/bl-sgd-01; CLOSEOUT4; MASTER-TABLE15-16
schedule_controls,/panels/schedule_controls/verified_counterweight/caveat,str,Historical guard occupancy unmeasured for i3b; do not call this guard-free.
baseline_model_transfer,/panels/baseline_model_transfer/scope,str,"R34/R50 AdamW cosine at two LR points, n=3 each. These target ladders do not bracket the peak; selected observed maxima are descriptive."
baseline_model_transfer,/panels/baseline_model_transfer/source_refs/0/path,str,repository/docs/MASTER-TABLE.md
baseline_model_transfer,/panels/baseline_model_transfer/source_refs/0/line,int,18
baseline_model_transfer,/panels/baseline_model_transfer/source_refs/0/section,NoneType,
baseline_budget,/panels/baseline_budget/scope,str,"300/600 independent training budgets, n=3. Meta is AdamW/Adam LAYERWISE ADDITIVE r=.06, a0=1e-4 ms=1e-3; cosine lr=1e-3. Do not replace this with plain layerwise when matching 100 epochs."
baseline_budget,/panels/baseline_budget/source_refs/0/path,str,repository/docs/MASTER-TABLE.md
baseline_budget,/panels/baseline_budget/source_refs/0/line,int,17
baseline_budget,/panels/baseline_budget/source_refs/0/section,NoneType,
baseline_budget,/panels/baseline_budget/source_refs/1/path,str,repository/docs/CORRECTIONS.md
baseline_budget,/panels/baseline_budget/source_refs/1/line,int,1121
baseline_budget,/panels/baseline_budget/source_refs/1/section,str,36
granularity_model_transfer,/panels/granularity_model_transfer/scope,str,"sc first three seeds for R10/R18/R34; sc50 two seeds at two alpha0 values. Shared ms=1e-3, C10. Additive cells kept explicitly separate from plain granularity."
granularity_model_transfer,/panels/granularity_model_transfer/source_refs/0/path,str,repository/docs/MASTER-TABLE.md
granularity_model_transfer,/panels/granularity_model_transfer/source_refs/0/line,int,57
granularity_model_transfer,/panels/granularity_model_transfer/source_refs/0/section,NoneType,
granularity_model_transfer,/panels/granularity_model_transfer/source_refs/1/path,str,repository/docs/MASTER-TABLE.md
granularity_model_transfer,/panels/granularity_model_transfer/source_refs/1/line,int,58
granularity_model_transfer,/panels/granularity_model_transfer/source_refs/1/section,NoneType,
granularity_cifar100_historical,/panels/granularity_cifar100_historical/scope,str,"c100+c100b gives scalar/blk6/layerwise n=5 at each alpha0; c100f node/weight n=3 at 1e-3 only. Shared ms=1e-3. These batch compositions differ, and target meta steps are not individually tuned."
granularity_cifar100_historical,/panels/granularity_cifar100_historical/source_refs/0/path,str,repository/docs/MASTER-TABLE.md
granularity_cifar100_historical,/panels/granularity_cifar100_historical/source_refs/0/line,int,59
granularity_cifar100_historical,/panels/granularity_cifar100_historical/source_refs/0/section,NoneType,
granularity_cifar100_historical,/panels/granularity_cifar100_historical/source_refs/1/path,str,repository/docs/MASTER-TABLE.md
granularity_cifar100_historical,/panels/granularity_cifar100_historical/source_refs/1/line,int,60
granularity_cifar100_historical,/panels/granularity_cifar100_historical/source_refs/1/section,NoneType,
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/tuned/positive_means,str,first named arm minus second named arm
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/tuned/a,str,cru1-lay-m1e-4-a1e-3
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/tuned/b,str,cru1-sc-m1e-4-a1e-3
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/tuned/difference_pp,float,35.29066666666667
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/tuned/empirical_unpaired_seed_se,float,0.2693432341414558
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/tuned/registered_se,NoneType,
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/tuned/registered_se_units,NoneType,
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/shared_ms1e3/positive_means,str,first named arm minus second named arm
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/shared_ms1e3/a,str,cru1-lay-m1e-3-a1e-3
granularity_cifar100_tuning,/panels/granularity_cifar100_tuning/shared_ms1e3/b,str,cru1-sc-m1e-3-a1e-3
