claim,resolution,rows
CAU1 official CORRECTIONS208 landing,Incorrect reference in uncommitted MASTER text. Committed208 is cvk2 frozen bars. Report CAU1 as newly independently reproduced Sep14 with uncommitted ingest; original submission/scorer/log hashes verified separately.,"[""MT19"",""MT20""]"
Robustness +5.1pp is primary,"It is last20. Recomputed last5 is +3.158738 full-grid, +4.679861 six-cell sensitivity; do not mix.","[""MT49""]"
AdamW cosine peak94.769 is SW_3e-3 x2 + fxcos-3e-3 x3,That explicit current run selection gives94.824 primary. The old94.769 exact run selection remains unresolved. Separate SW and fxcos curves; do not silently substitute.,"[""MT14"",""MT15""]"
M1 is merely a meta-step dial; no transfer; all fixes refuted,Later g4m preserves+.821pp interior advantage after optimizing ms at each r. R10/R34 small-alpha0 optima also exist. Literal two-level tl1 is NULL and EB fails its bar: these are distinct claims.,"[""MT73"",""MT74"",""MT76"",""MT78""]"
Weightwise tuning is unrun and ladder possibly flat,"wm9 completed10runs, W2 REFUTED; tw0 follows at100ep and clears recorded occupancy. Old OPEN is stale.","[""MT29"",""MT33""]"
hz9 fixed-ms contrast is paired within seed,"It spans hz9 and rs batches. Mean+1.138 stays, WelchSE.1365 replaces paired inference. br6/bl5 differences themselves remain correctly paired within family.","[""MT34"",""MT39"",""MT40"",""MT41""]"
All coarse tuned partitions can be ranked by cell SEM,"Historical controls mix family proportions. Batch floor~.18–.29pp can dominate small differences. Current canonical means are descriptive, not fresh registered ranking tests.","[""MT26"",""MT28"",""MT33""]"
Nodewise falloff2.593 pp/decade,"Unedited cQ1 current-primary score gives.7532 (N1-dependent); scalar5.8884, blk6.9148, layerwise1.7893. The ordering survives; surface and metric differ from historical printed numerals.","[""MT27""]"
Fixed lr1e-6 cannot train,"It reaches about69.5% primary test accuracy. It undertrains strongly, but literal inability to train is false.","[""MT47""]"
2836 runs means2836 independent hypotheses or confirmations,"Runs include seeds, ladder cells, controls, pilots, invalid/incomplete entries, duplicates and reanalyses. This file inventories42 question/audit rows; overlapping rows are not independent tests.",[]
