panel_number,panel_id,scope,metric,cell_occurrences,unique_primary_cells,unique_legacy_cells,unique_runs,contrast_rows,notes,source_refs,primary_cells_file,legacy_cells_file,contrasts_file,coverage
1,alpha0_robustness,"ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,21,21,21,62,0,"[""Equal weight per one of seven registered LR/alpha0 grid cells; each cell is its mean over all seeds, retaining collapse outcomes. Six-cell sensitivity removes entire alpha01e-1 cell for all arms."",""ResNet18/CIFAR10,AUGMENT1,100ep; meta AdamW+Adam/6blocks/ms1e-3."",""The historical +4.941 and +5.094 pp results use plateau20; plateau5 recalculation is newly descriptive, not a new registered verdict."",""Cosine arm is a cross-batch SW+i3c assembly. A/B are account-balanced2:1; C sits wholly on Account1."",""Seven grid points spanning five decades, not seven decades. Grid mean describes this chosen grid, not an intrinsic robustness constant."",""Augmented meta arms have no stored probe occupancy; do not inherit cau1 guard-free finding across settings."",""Seven-cell mean B−C=3.158738 pp; six-cell exclusion of 1e-1 gives 4.679861 pp. Historical +5.094/+4.941 is plateau20, not primary. No aggregate SEM invented across the chosen grid.""]",See panel_metadata.csv and exact source pointers,panels/01_alpha0_robustness__cells_plateau5.csv,panels/01_alpha0_robustness__cells_legacy_plateau20.csv,,covered
2,alpha0_300_extremes,"300-epoch independent-budget follow-up at four alpha0 extremes, constant and meta only, n=2. Compare corresponding 100-epoch cells; this is not a completed three-arm 300-epoch grid.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,8,8,8,16,0,"[""300-epoch independent-budget follow-up at four alpha0 extremes, constant and meta only, n=2. Compare corresponding 100-epoch cells; this is not a completed three-arm 300-epoch grid.""]","[{""line"":50,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null},{""line"":1285,""path"":""repository/docs/CORRECTIONS.md"",""section"":""42""}]",panels/02_alpha0_300_extremes__cells_plateau5.csv,panels/02_alpha0_300_extremes__cells_legacy_plateau20.csv,,covered
3,schedule_controls,"Fixed, meta, and cosine are separate recipes. Keep SW warmup10000 and fxcos warmup2500 in separate series; both use COS_TOTAL50000. i3a is COS_TOTAL1e8, warmup0.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,18,18,18,55,2,"[""Fixed, meta, and cosine are separate recipes. Keep SW warmup10000 and fxcos warmup2500 in separate series; both use COS_TOTAL50000. i3a is COS_TOTAL1e8, warmup0."",""ResNet18/CIFAR10,AUGMENT1,100ep. Cross-batch optima, not one matched batch. Plateau5."",""Historical guard occupancy unmeasured for i3b; do not call this guard-free.""]","[{""line"":15,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null},{""line"":52,""path"":""repository/docs/CLOSEOUT.md"",""section"":null}]",panels/03_schedule_controls__cells_plateau5.csv,panels/03_schedule_controls__cells_legacy_plateau20.csv,panels/03_schedule_controls__contrasts_plateau5.csv,covered
4,baseline_model_transfer,"R34/R50 AdamW cosine at two LR points, n=3 each. These target ladders do not bracket the peak; selected observed maxima are descriptive.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,4,4,4,12,0,"[""R34/R50 AdamW cosine at two LR points, n=3 each. These target ladders do not bracket the peak; selected observed maxima are descriptive.""]","[{""line"":18,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null}]",panels/04_baseline_model_transfer__cells_plateau5.csv,panels/04_baseline_model_transfer__cells_legacy_plateau20.csv,,covered
5,baseline_budget,"300/600 independent training budgets, n=3. Meta is AdamW/Adam LAYERWISE ADDITIVE r=.06, a0=1e-4 ms=1e-3; cosine lr=1e-3. Do not replace this with plain layerwise when matching 100 epochs.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,4,4,4,12,0,"[""300/600 independent training budgets, n=3. Meta is AdamW/Adam LAYERWISE ADDITIVE r=.06, a0=1e-4 ms=1e-3; cosine lr=1e-3. Do not replace this with plain layerwise when matching 100 epochs.""]","[{""line"":17,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null},{""line"":1121,""path"":""repository/docs/CORRECTIONS.md"",""section"":""36""}]",panels/05_baseline_budget__cells_plateau5.csv,panels/05_baseline_budget__cells_legacy_plateau20.csv,,covered
6,granularity_model_transfer,"sc first three seeds for R10/R18/R34; sc50 two seeds at two alpha0 values. Shared ms=1e-3, C10. Additive cells kept explicitly separate from plain granularity.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,16,16,16,42,0,"[""sc first three seeds for R10/R18/R34; sc50 two seeds at two alpha0 values. Shared ms=1e-3, C10. Additive cells kept explicitly separate from plain granularity.""]","[{""line"":57,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null},{""line"":58,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null}]",panels/06_granularity_model_transfer__cells_plateau5.csv,panels/06_granularity_model_transfer__cells_legacy_plateau20.csv,,covered
7,granularity_cifar100_historical,"c100+c100b gives scalar/blk6/layerwise n=5 at each alpha0; c100f node/weight n=3 at 1e-3 only. Shared ms=1e-3. These batch compositions differ, and target meta steps are not individually tuned.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,10,10,10,40,0,"[""c100+c100b gives scalar/blk6/layerwise n=5 at each alpha0; c100f node/weight n=3 at 1e-3 only. Shared ms=1e-3. These batch compositions differ, and target meta steps are not individually tuned.""]","[{""line"":59,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null},{""line"":60,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null}]",panels/07_granularity_cifar100_historical__cells_plateau5.csv,panels/07_granularity_cifar100_historical__cells_legacy_plateau20.csv,,covered
8,granularity_cifar100_tuning,"ResNet18_c100/CIFAR100,AUGMENT1,100ep,3freshseeds15-17/cell. Main plot uses alpha0=1e-3 only.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,20,20,20,60,2,"[""1e-3:GAP-SHRINKS;1e-6:UNRESOLVED-OPTIMUM-AT-LADDER-EDGE;ALIAS-BROKEN"",""ResNet18_c100/CIFAR100,AUGMENT1,100ep,3freshseeds15-17/cell. Main plot uses alpha0=1e-3 only."",""At alpha0=1e-6 scalar optimum is at ladder edge, so no analogous tuned conclusion."",""Does not refute hz9: different dataset and contrast."",""F-control fails but its presumed frozen-beta interpretation was false; no non-adaptation mechanism claim.""]",See panel_metadata.csv and exact source pointers,panels/08_granularity_cifar100_tuning__cells_plateau5.csv,panels/08_granularity_cifar100_tuning__cells_legacy_plateau20.csv,panels/08_granularity_cifar100_tuning__contrasts_plateau5.csv,covered
9,granularity_dataset_network_extensions,TinyImageNet positive gap+40.9753 is same shared ms1e-3 and alpha01e-6; not separately tuned on target dataset. VGG11_bn/CIFAR100 100ep gap+31.2687 is non-residual but still BatchNorm; multi-axis architecture change. Target-network ms optima are not located.,PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,6,6,6,18,0,"[""TinyImageNet positive gap+40.9753 is same shared ms1e-3 and alpha01e-6; not separately tuned on target dataset."",""VGG11_bn/CIFAR100 100ep gap+31.2687 is non-residual but still BatchNorm; multi-axis architecture change. Target-network ms optima are not located.""]",See panel_metadata.csv and exact source pointers,panels/09_granularity_dataset_network_extensions__cells_plateau5.csv,panels/09_granularity_dataset_network_extensions__cells_legacy_plateau20.csv,,covered
10,full_granularity_ladder,"Current complete canonical C10 SGDm/Lion a0=1e-3 corpus, cQ1 selection with explicitly flagged duplicate aliases collapsed; descriptive multi-batch cells. This changes nodewise1e-4 n32 to n29 but not the selected peak. Each peak selected over available canonical rungs, not a new registered comparison. Means differ from frozen old tables as the corpus grew.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,31,26,26,170,0,"[""Current complete canonical C10 SGDm/Lion a0=1e-3 corpus, cQ1 selection with explicitly flagged duplicate aliases collapsed; descriptive multi-batch cells. This changes nodewise1e-4 n32 to n29 but not the selected peak. Each peak selected over available canonical rungs, not a new registered comparison. Means differ from frozen old tables as the corpus grew."",""Cross-family and unbalanced cell composition means cell SEM alone cannot rank small differences."",""Some above-peak rungs have n=1; endpoints and sampled curves do not prove a global optimum."",""Canonical clamp box remains; at1 nodewise@3e-4 touches the lower bound, unlike tw0@1e-4."",""Historical frozen-beta ms1e-8 is only an approximation, not proof of no beta motion.""]","[{""line"":90,""path"":""repository/analysis/cQ1_row24_falloff_score.py"",""section"":null},{""path"":""publication-workspace/work/full_portfolio_falloff_score.txt""}]",panels/10_full_granularity_ladder__cells_plateau5.csv,panels/10_full_granularity_ladder__cells_legacy_plateau20.csv,,covered
11,weightwise_tuning,,PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,8,8,8,19,0,"[""W2 REFUTED; grid argmax interior by W1b, but W1 peak location UNDECIDED. Never call 1e-4 the resolved optimum."",""tw0 100-epoch follow-up reports zero recorded occupancy in all 9 runs; closes wm9’s short-budget guard extrapolation, CORRECTIONS104.2.""]","[{""line"":4853,""path"":""repository/docs/CORRECTIONS.md"",""section"":""103.2""},{""line"":4988,""path"":""repository/docs/CORRECTIONS.md"",""section"":""104.2""}]",panels/11_weightwise_tuning__cells_plateau5.csv,panels/11_weightwise_tuning__cells_legacy_plateau20.csv,,covered
12,horizon_reversal,"Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,44,44,6,24,16,"[""Shared ms1e-3: seven differences paired within br6 or bl5, two ceilings. Tuned: n=5 versus5 independent cells, hz9+rs pool licensed historically. Endpoints use matched last5 windows; trajectories are not independent budget experiments."",""T-B replicates the pilot direction, refuting the original headline; −.360 endpoint lies inside the ±.50 materiality band despite 2.32 SE from zero.""]","[{""line"":null,""path"":""repository/results/c72_hz9_score.txt"",""section"":null},{""line"":39,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null},{""line"":6693,""path"":""repository/docs/CORRECTIONS.md"",""section"":""115""}]",panels/12_horizon_reversal__cells_plateau5.csv,panels/12_horizon_reversal__cells_legacy_plateau20.csv,panels/12_horizon_reversal__contrasts_plateau5.csv,covered
13,long_trajectory_pooling,"Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,24,24,8,16,0,"[""Within each family, three endpoint windows on the SAME 300-epoch runs, n=2 per arm. e300 a0=1e-3; e3a a0=1e-6. Keep additive and shrink distinct.""]","[{""line"":62,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null},{""line"":65,""path"":""repository/docs/MAIN-IDEA-REPORT.md"",""section"":null}]",panels/13_long_trajectory_pooling__cells_plateau5.csv,panels/13_long_trajectory_pooling__cells_legacy_plateau20.csv,,covered
14,initialization_startup,Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.,PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,24,24,24,36,0,"[""Short cells n=1 and multiple arms use full SHRINK; only scalar/plain layerwise are unpooled. a0L is n=2 per matched100-epoch cell. The two budgets are not the same factorial treatment.""]","[{""line"":61,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null}]",panels/14_initialization_startup__cells_plateau5.csv,panels/14_initialization_startup__cells_legacy_plateau20.csv,,covered
15,abandoned_fixes,"Primary accuracy only. M0 lambda is a per-step decay/time constant, not a clean pooling-strength dial. zpool interior effective-step confound remains. I1 exact schedule is unidentified: do not attribute its effect to an intended cosine.",PRIMARY plateau5: arithmetic mean test accuracy (%) over the last five epoch records; windows ending E use epoch indices E−5 through E−1. Differences are percentage points.,32,32,32,116,0,"[""Primary accuracy only. M0 lambda is a per-step decay/time constant, not a clean pooling-strength dial. zpool interior effective-step confound remains. I1 exact schedule is unidentified: do not attribute its effect to an intended cosine.""]","[{""line"":69,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null},{""line"":71,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null},{""line"":79,""path"":""repository/docs/MASTER-TABLE.md"",""section"":null}]",panels/15_abandoned_fixes__cells_plateau5.csv,panels/15_abandoned_fixes__cells_legacy_plateau20.csv,,covered
