k,documented_pooled_disagreement,capture_from_raw_cpk1_means,sd,se,source_ids,scope,units
17,0.3329,0.0687096545364262,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
24,0.3262,0.0999219692133078,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
31,0.3001,0.218954387458324,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
38,0.1069,0.281549265801234,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
42,0.0728,0.3905369936866,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
45,0.0721,0.415379158686245,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
47,0.0635,0.488770660424204,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
49,0.0615,0.696460239767326,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
52,0.0448,0.332439526140314,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
55,0.0441,0.0138611051996879,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
60,0.0461,0.0425196850393701,,,S0581 | S0582 | S0583 | S0584,"**ZERO GPU**, from probe traces on disk; nothing submitted or ingested | Historical rounded values retained for comparison with the full raw reconstruction. Blank SD/SE were not reported.",fraction
