collection,metric_id,definition,evidence_file,evidence_json_pointer
mechanism,plateau5,"Mean TEST accuracy (%) over the five registered terminal epochs; training uses the same window. 100→95..99, 250→245..249, 772→767..771, ImageNet489g1 common80→75..79, ImageNet489g2 84→79..83. Accuracy differences and across-seed SD/SE use percentage points (pp).",publication-workspace/work/full_mechanism_evidence.json,/metric_definitions/plateau5
mechanism,legacy_plateau,"CSV plateau means last20epochs, not the primary. Final and best are distinct secondary metrics.",publication-workspace/work/full_mechanism_evidence.json,/metric_definitions/legacy_plateau
mechanism,uncertainty,"Sample standard deviation (ddof1) and standard error SD/sqrt(n) across raw per-seed plateau5 values, never estimated from a printed mean. Singletons have SD/SE=null. Historical scorer bars can use pooled/prior sigma and are not these descriptive arm error bars.",publication-workspace/work/full_mechanism_evidence.json,/metric_definitions/uncertainty
mechanism,raw_precision,Epoch accuracy lines are printed to0.01 percentage point; derived five-epoch averages inherit that precision.,publication-workspace/work/full_mechanism_evidence.json,/metric_definitions/raw_precision
mechanism,batch,Comparisons stay within batch unless explicitly labeled descriptive across batches.,publication-workspace/work/full_mechanism_evidence.json,/metric_definitions/batch
mechanism,capture,"(arm mean minus in-batch scalar mean)/(in-batch layerwise mean minus scalar mean); endpoints0and1 are constructed, not discoveries.",publication-workspace/work/full_mechanism_evidence.json,/metric_definitions/capture
measurement,plateau5,"Mean test accuracy over the final five completed epochs, in percent. Differences use percentage points.",publication-workspace/work/full_measurement_evidence.json,/metric_definitions/plateau5
measurement,legacy_plateau,"Mean over the last 20 epochs. At a 20-epoch budget it is the whole-run mean, a speed/AUC proxy. Preserve only in historical correction tables.",publication-workspace/work/full_measurement_evidence.json,/metric_definitions/legacy_plateau
measurement,N_eff_fraction,"1/[1+(m-1)rho_s], a dimensionless effective-independence fraction for the measured sign statistic under an exchangeable-variance approximation. It is not percent signal or a performance predictor.",publication-workspace/work/full_measurement_evidence.json,/metric_definitions/N_eff_fraction
measurement,rho_s,"Excess temporal variance of the pooled negative-sign fraction over an independence floor, normalized by Bernoulli variance. Name whether the floor is pooled or heterogeneity-corrected.",publication-workspace/work/full_measurement_evidence.json,/metric_definitions/rho_s
measurement,rho_w,An implied per-weight correlation derived from the rung measurement at average group size k. It is distinct from the marginal-sign statistic E.,publication-workspace/work/full_measurement_evidence.json,/metric_definitions/rho_w
measurement,E_u,"100*(R_corrected(u)-mean R_null(u)), where R=SS_block|tensor/(SS_block|tensor+SS_within) after noise correction, applied to persistent per-coordinate negative-sign frequency. Units: percentage points of explained variance, not accuracy.",publication-workspace/work/full_measurement_evidence.json,/metric_definitions/E_u
measurement,u,"Block size in output-channel row units: max(1,round(row_width*u)) coordinates per convolution-tensor block. u=1 is an output channel; u=1/512 spans 1–9 coordinates across these tensors.",publication-workspace/work/full_measurement_evidence.json,/metric_definitions/u
measurement,E_res_pp,Monte Carlo SE of a within-tensor permutation-null mean using three random null draws. This is not training-seed SEM.,publication-workspace/work/full_measurement_evidence.json,/metric_definitions/E_res_pp
measurement,span,"The c55 steady-half time average of max(beta)-min(beta), then averaged across layerwise, nodewise and weightwise. Natural-log units. Terminal weightwise span is a different summary.",publication-workspace/work/full_measurement_evidence.json,/metric_definitions/span
measurement,F_int,Observed output-channel by input-channel interaction sum of squares divided by the corresponding within-tensor permutation-null sum of squares. Dimensionless; registered threshold 1.10.,publication-workspace/work/full_measurement_evidence.json,/metric_definitions/F_int
export,H_DISAGREE_window_rate,Disagree / determinate 100-meta-step windows from virtual regrouping of the cru1 layerwise trajectory. Pooled denominator weighting differs from the mean of per-seed rates. Do not substitute the 12-epoch true-m2 per-step fraction.,,
export,Lion_tensor_direction,"L_i = 0.9*m_i + 0.1*z_i. Positive L lowers beta (log step size), negative L raises beta. Statistics of seed means and statistics of probe records are separate.",,
export,strict_carrier_domination,"Three-carrier signed sum exceeds the sum of absolute remaining terms. Distinct from removal flipping the aggregate sign; the latter holds on all pinned records, the former does not.",,
export,rate_shape,"Documented fitted tau (epochs) and normalized hitting times rho25, rho50, rho75, rho90. Tau SD is across three training seeds; no SE or rho uncertainty is reconstructed.",,
export,missing_uncertainty,"Blank means unavailable or inapplicable, never zero. SD/SE are copied only when provided; no SD/SE is inferred from rounded means, t values, ranges, or records treated as seeds.",,
export,numeric_serialization,"Floating values are copied to 15 significant digits to suppress binary representation tails. Printed historical values keep their supplied numerical precision. This is serialization only, not a new estimate.",,
