collection,panel_id,panel_title,entry_ids,metric,units,scope,notes,evidence_level,panel_source_ids,evidence_file,evidence_json_pointer,exported,file_count,total_data_rows,filenames
mechanism,head_ablation,The head split does not explain the gap,MT137,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`hb1`, 18 runs, CIFAR-100/`ResNet18_c100`, 100 ep, ONE batch","Three seeds per arm, same100-epoch batch. | Head specificity=head capture−max(stem,midpoint) capture.",raw epoch reconstruction,S0019 | S0020 | S0021,publication-workspace/work/full_mechanism_evidence.json,/panels/head_ablation,true,3,1824,mechanism__head_ablation__arm_summary.csv | mechanism__head_ablation__per_seed.csv | mechanism__head_ablation__epoch_curves.csv
mechanism,count_and_tensor_balance,"Count, balance, and mirror controls",MT139,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch","Tensor-count entropy is not parameter-mass balance. | Mirror [17,45]/[45,17] has identical entropy but differs by16.5393pp. | These data do not establish that position dominates group count.",raw epoch reconstruction,S0055 | S0056 | S0057,publication-workspace/work/full_mechanism_evidence.json,/panels/count_and_tensor_balance,true,6,3481,mechanism__count_and_tensor_balance__arm_summary.csv | mechanism__count_and_tensor_balance__per_seed.csv | mechanism__count_and_tensor_balance__epoch_curves.csv | mechanism__count_and_tensor_balance__tensor_groups.csv | mechanism__count_and_tensor_balance__contrasts.csv | mechanism__count_and_tensor_balance__paired_seed_contrasts.csv
mechanism,imagenet489,ImageNet-489: gap and count ladder,MT140 | MT151,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489","in489g1 primary is COMMON80epochs (three seeds); in489g2 is84epochs(two seeds). | Do not combine their means or uncertainty. | 489classes, not1000; use batch-specific anchors for capture. | in489g1 scalar/block arms fail the5% learned-floor gate: BLOCK/GRAN unresolved.",raw epoch reconstruction,S0084 | S0085 | S0086 | S0087 | S0088 | S0089,publication-workspace/work/full_mechanism_evidence.json,/panels/imagenet489,true,3,2211,mechanism__imagenet489__arm_summary.csv | mechanism__imagenet489__per_seed.csv | mechanism__imagenet489__epoch_curves.csv
mechanism,tinyimagenet,Tiny-ImageNet dataset replication,MT136,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`tn1`, 12 runs, 100 ep",c10lay is a CIFAR-10 harness control; show separately from Tiny-ImageNet arms.,raw epoch reconstruction,S0102 | S0103 | S0104,publication-workspace/work/full_mechanism_evidence.json,/panels/tinyimagenet,true,5,1220,mechanism__tinyimagenet__arm_summary.csv | mechanism__tinyimagenet__per_seed.csv | mechanism__tinyimagenet__epoch_curves.csv | mechanism__tinyimagenet__contrasts.csv | mechanism__tinyimagenet__paired_seed_contrasts.csv
mechanism,r_rescaling_control,Tuning meta stepsize does not erase r benefit,MT132,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`g4m`, 72 runs, 100 ep, ONE batch","All four r levels share the same six-point meta-stepsize grid. | Use the winning rung within each r only with its full tuning grid visible. | r=0 is scalar-like within the additive operator, not the scalar optimizer.",raw epoch reconstruction,S0177 | S0103 | S0178,publication-workspace/work/full_mechanism_evidence.json,/panels/r_rescaling_control,true,3,7296,mechanism__r_rescaling_control__arm_summary.csv | mechanism__r_rescaling_control__per_seed.csv | mechanism__r_rescaling_control__epoch_curves.csv
mechanism,two_level_shrinkage,Two-level shrinkage loses to plain layerwise,MT133,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`tl1`, 42 runs, 100 ep",Separate alpha0=1e-6 and1e-3; plain and scalar controls are explicitly distinct from r endpoints.,raw epoch reconstruction,S0221 | S0103 | S0222,publication-workspace/work/full_mechanism_evidence.json,/panels/two_level_shrinkage,true,3,4256,mechanism__two_level_shrinkage__arm_summary.csv | mechanism__two_level_shrinkage__per_seed.csv | mechanism__two_level_shrinkage__epoch_curves.csv
mechanism,empirical_bayes,Dial-free shrinkage misses its registered target,MT134,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`eb1`, 18 runs, 100 ep","Primary LIFT is ebjs−a1, not ebjs−lay. | ebjr changes the variance EWMA; ebjz is descriptive z-space shrinkage.",raw epoch reconstruction,S0241 | S0103 | S0242,publication-workspace/work/full_mechanism_evidence.json,/panels/empirical_bayes,true,5,1828,mechanism__empirical_bayes__arm_summary.csv | mechanism__empirical_bayes__per_seed.csv | mechanism__empirical_bayes__epoch_curves.csv | mechanism__empirical_bayes__contrasts.csv | mechanism__empirical_bayes__paired_seed_contrasts.csv
mechanism,resnet50_r_ladder,ResNet-50 ladder remains unresolved,MT135,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`a2g3`, 36 runs, 100 ep, ResNet-50","Both alpha0 strata individually UNRESOLVED; combined SPLIT is not disagreement in individual verdicts. | Three seeds, six r levels per alpha0; all36runs reached100epochs.",raw epoch reconstruction,S0279 | S0103 | S0280,publication-workspace/work/full_mechanism_evidence.json,/panels/resnet50_r_ladder,true,3,3648,mechanism__resnet50_r_ladder__arm_summary.csv | mechanism__resnet50_r_ladder__per_seed.csv | mechanism__resnet50_r_ladder__epoch_curves.csv
mechanism,adam_lion_r_ladder,Meta-optimizer specificity: sampled result and open interval,MT138,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`lsm1`, 24 runs, 100 ep","Lion observed at0,.06,1; Adam at0,.03,.06,.2,1. Missing rungs must remain missing in plots. | No vanishing claim: Adam argmax=.03 neighbors unsampled(0,.03). | All24existingruns completed100epochs; proposed.01/.015extension is unregistered.",raw epoch reconstruction,S0305 | S0306 | S0307,publication-workspace/work/full_mechanism_evidence.json,/panels/adam_lion_r_ladder,true,3,2432,mechanism__adam_lion_r_ladder__arm_summary.csv | mechanism__adam_lion_r_ladder__per_seed.csv | mechanism__adam_lion_r_ladder__epoch_curves.csv
mechanism,identity_order,Name-set permutation tests,MT152,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cpr1`, 15 runs, 100 ep","Registered CLASS-OPERATIVE branch is arithmetically unreachable. | DS point agreement withdrawn; single-tensor additivity refuted. | These are100-epoch measurements on seeds9,10,11.",raw epoch reconstruction,S0323 | S0324 | S0325,publication-workspace/work/full_mechanism_evidence.json,/panels/identity_order,true,3,1520,mechanism__identity_order__arm_summary.csv | mechanism__identity_order__per_seed.csv | mechanism__identity_order__epoch_curves.csv
