arm,seed,n_probe_records,source_ids,step,epoch,beta,L_aggregate,carrier_L_sum,remaining_L_sum,remaining_absolute_L_sum,carriers_strictly_dominate,removal_flips_sign,pinned,determinate,disagree_with_tensor_count,scope,units
sc,18,500,S0587,0,0,-13.814510345459,-6.61234125232113e-09,-3.30717933039182e-09,-3.30516191845986e-09,5.69238425909835e-09,false,false,false,true,false,"`ctd1`, 6 runs, 100 ep | 500 records per seed. Strict domination means carrier sum exceeds the sum of absolute remaining terms; removal_flips_sign is a separate test.",Lion direction units; beta natural log; epoch and step
sc,18,500,S0587,100,0.2,-13.714469909668,-3.37895948177902e-05,-1.3536832597083e-06,-3.24359094608151e-05,3.25710221259233e-05,false,false,false,true,false,"`ctd1`, 6 runs, 100 ep | 500 records per seed. Strict domination means carrier sum exceeds the sum of absolute remaining terms; removal_flips_sign is a separate test.",Lion direction units; beta natural log; epoch and step
sc,18,500,S0587,200,0.4,-13.614429473877,-0.000147239354555495,-3.91775695334218e-06,-0.000143321590074577,0.000143866721828098,false,false,false,true,false,"`ctd1`, 6 runs, 100 ep | 500 records per seed. Strict domination means carrier sum exceeds the sum of absolute remaining terms; removal_flips_sign is a separate test.",Lion direction units; beta natural log; epoch and step
sc,18,500,S0587,300,0.6,-13.5143890380859,-0.000343472513486631,-7.22280144600518e-06,-0.000336249750229245,0.000336996515313065,false,false,false,true,false,"`ctd1`, 6 runs, 100 ep | 500 records per seed. Strict domination means carrier sum exceeds the sum of absolute remaining terms; removal_flips_sign is a separate test.",Lion direction units; beta natural log; epoch and step
sc,18,500,S0587,400,0.8,-13.4143486022949,-0.000570150616113096,-1.10834792849346e-05,-0.000559067001197763,0.000559793979395137,false,false,false,true,false,"`ctd1`, 6 runs, 100 ep | 500 records per seed. Strict domination means carrier sum exceeds the sum of absolute remaining terms; removal_flips_sign is a separate test.",Lion direction units; beta natural log; epoch and step
sc,18,500,S0587,500,1,-13.3143081665039,-0.000910484947962686,-1.61972279784095e-05,-0.000894287705922489,0.000895788059542321,false,false,false,true,false,"`ctd1`, 6 runs, 100 ep | 500 records per seed. Strict domination means carrier sum exceeds the sum of absolute remaining terms; removal_flips_sign is a separate test.",Lion direction units; beta natural log; epoch and step
sc,18,500,S0587,600,1.2,-13.2142677307129,-0.00122050466015935,-2.03985014195496e-05,-0.00120010603414674,0.00120268118182086,false,false,false,true,false,"`ctd1`, 6 runs, 100 ep | 500 records per seed. Strict domination means carrier sum exceeds the sum of absolute remaining terms; removal_flips_sign is a separate test.",Lion direction units; beta natural log; epoch and step
sc,18,500,S0587,700,1.4,-13.1142272949219,-0.0015803609858267,-2.56071062722185e-05,-0.00155475409997193,0.00155818791626977,false,false,false,true,false,"`ctd1`, 6 runs, 100 ep | 500 records per seed. Strict domination means carrier sum exceeds the sum of absolute remaining terms; removal_flips_sign is a separate test.",Lion direction units; beta natural log; epoch and step
sc,18,500,S0587,800,1.6,-13.0141868591309,-0.00199639594648033,-3.03467285448278e-05,-0.00196604929049917,0.00197078837603916,false,false,false,true,false,"`ctd1`, 6 runs, 100 ep | 500 records per seed. Strict domination means carrier sum exceeds the sum of absolute remaining terms; removal_flips_sign is a separate test.",Lion direction units; beta natural log; epoch and step
sc,18,500,S0587,900,1.8,-12.9141464233398,-0.00248049644287676,-3.67640862350527e-05,-0.00244373223921421,0.00244864439618446,false,false,false,true,false,"`ctd1`, 6 runs, 100 ep | 500 records per seed. Strict domination means carrier sum exceeds the sum of absolute remaining terms; removal_flips_sign is a separate test.",Lion direction units; beta natural log; epoch and step
