batch,arm,label,horizon,group_count,normalized_tensor_count_entropy,r,meta_stepsize,meta_optimizer,capture_fraction,plateau_window_start_epoch,plateau_window_end_epoch,config_network,config_dataset,config_batch_size,config_granularity,config_base,config_meta,config_meta_stepsize,config_alpha0,config_gamma,config_augment,config_beta_clip,config_hier,config_lam,config_eta_ratio,config_epochs_requested,seed,run,test_plateau5_percent,train_plateau5_percent,source_ids,scope,units
cpg1,k01,Scalar,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,12,cpg1-k01-s12,22.742,22.716,S0326,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,k01,Scalar,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,13,cpg1-k01-s13,22.716,22.43,S0327,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,k01,Scalar,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,scalar,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,14,cpg1-k01-s14,23.364,23.056,S0328,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kP,Contiguous baseline,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,sets:1-49/50-62,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,12,cpg1-kP-s12,55.486,62.16,S0329,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kP,Contiguous baseline,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,sets:1-49/50-62,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,13,cpg1-kP-s13,56.092,62.682,S0330,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kP,Contiguous baseline,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,sets:1-49/50-62,SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,14,cpg1-kP-s14,55.306,63.016,S0331,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kE,Holes; conv49 retained,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-47,layer4.0.conv2.weight,layer4.0.shortcut.0.weight/layer4.0.bn1.bias,50-51,53-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,12,cpg1-kE-s12,56.178,62.492,S0332,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kE,Holes; conv49 retained,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-47,layer4.0.conv2.weight,layer4.0.shortcut.0.weight/layer4.0.bn1.bias,50-51,53-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,13,cpg1-kE-s13,55.462,62.042,S0333,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kE,Holes; conv49 retained,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-47,layer4.0.conv2.weight,layer4.0.shortcut.0.weight/layer4.0.bn1.bias,50-51,53-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,14,cpg1-kE-s14,54.864,61.45,S0334,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kC,conv49 removed; shortcut52 coarse,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-48,layer4.0.shortcut.0.weight/layer4.0.conv2.weight,50-51,53-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,12,cpg1-kC-s12,46.826,51.182,S0335,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kC,conv49 removed; shortcut52 coarse,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-48,layer4.0.shortcut.0.weight/layer4.0.conv2.weight,50-51,53-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,13,cpg1-kC-s13,46.38,50.98,S0336,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kC,conv49 removed; shortcut52 coarse,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-48,layer4.0.shortcut.0.weight/layer4.0.conv2.weight,50-51,53-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,14,cpg1-kC-s14,46.61,51.058,S0337,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kG,Exact mass match; conv49 removed,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-48,layer4.0.bn2.bias/layer4.0.conv2.weight,50,52-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,12,cpg1-kG-s12,46.336,50.674,S0338,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kG,Exact mass match; conv49 removed,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-48,layer4.0.bn2.bias/layer4.0.conv2.weight,50,52-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,13,cpg1-kG-s13,45.338,49.504,S0339,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpg1,kG,Exact mass match; conv49 removed,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-48,layer4.0.bn2.bias/layer4.0.conv2.weight,50,52-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,14,cpg1-kG-s14,45.596,50.624,S0340,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpr1,kS,Earlier exact-mass comparator,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-48,layer4.0.bn2.weight/layer4.0.conv2.weight,51-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,9,cpr1-kS-s9,22.118,21.962,S0319,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpr1,kS,Earlier exact-mass comparator,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-48,layer4.0.bn2.weight/layer4.0.conv2.weight,51-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,10,cpr1-kS-s10,21.094,21.532,S0317,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
cpr1,kS,Earlier exact-mass comparator,100,,,,,,,95,99,ResNet18_c100,CIFAR100,100,"sets:1-48,layer4.0.bn2.weight/layer4.0.conv2.weight,51-62",SGDm,Lion,1e-3,1e-6,1,1,-15:-2.3026,,na,na,100,11,cpr1-kS-s11,21.82,21.662,S0318,"`cpg1`, 15 runs, 100 ep | `CONV2` check, **ZERO GPU**, nothing scored or ingested; corpus 2,638 | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.",test accuracy percent; differences and SD/SE in percentage points
