analysis_set,arm,family,tag,n_records,exception_arm,analysis_entry_id,source_ids,n_null_draws,point_index_1based,label,u,E_pp,clamped,n_blocks,bsz_min,bsz_max,permutation_null_mc_se_pp,analysis_peak_lower_edge_censored,scope,units
trajectory,probes_fz3/probe_r10_w_s0,r10,r10  frozen,2000,false,K01,S0622,3,1,1/1024,0.0009765625,0.393949402854188,false,2238144,1,4,0.0220972545781858,false,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured. | All 17 supplied u rungs per analysis entry are retained, including clamped and exception flags. Permutation-null MC SE is not training-seed SE.",percentage points of explained variance; u in output-channel row units
trajectory,probes_fz3/probe_r10_w_s0,r10,r10  frozen,2000,false,K01,S0622,3,2,1/512,0.001953125,0.442677162269839,false,1246912,1,9,0.011416852959064,false,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured. | All 17 supplied u rungs per analysis entry are retained, including clamped and exception flags. Permutation-null MC SE is not training-seed SE.",percentage points of explained variance; u in output-channel row units
trajectory,probes_fz3/probe_r10_w_s0,r10,r10  frozen,2000,false,K01,S0622,3,3,1/256,0.00390625,0.284094749468641,false,685760,1,18,0.0171503425732656,false,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured. | All 17 supplied u rungs per analysis entry are retained, including clamped and exception flags. Permutation-null MC SE is not training-seed SE.",percentage points of explained variance; u in output-channel row units
trajectory,probes_fz3/probe_r10_w_s0,r10,r10  frozen,2000,false,K01,S0622,3,4,1/128,0.0078125,0.220726585713993,false,358080,1,36,0.0130990331233351,false,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured. | All 17 supplied u rungs per analysis entry are retained, including clamped and exception flags. Permutation-null MC SE is not training-seed SE.",percentage points of explained variance; u in output-channel row units
trajectory,probes_fz3/probe_r10_w_s0,r10,r10  frozen,2000,false,K01,S0622,3,5,1/64,0.015625,0.139416887766941,false,181952,1,72,0.0122594402010689,false,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured. | All 17 supplied u rungs per analysis entry are retained, including clamped and exception flags. Permutation-null MC SE is not training-seed SE.",percentage points of explained variance; u in output-channel row units
trajectory,probes_fz3/probe_r10_w_s0,r10,r10  frozen,2000,false,K01,S0622,3,6,1/32,0.03125,0.0995820040655359,false,91840,1,144,0.00885870710679866,false,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured. | All 17 supplied u rungs per analysis entry are retained, including clamped and exception flags. Permutation-null MC SE is not training-seed SE.",percentage points of explained variance; u in output-channel row units
trajectory,probes_fz3/probe_r10_w_s0,r10,r10  frozen,2000,false,K01,S0622,3,7,1/16,0.0625,0.0768851707326847,false,45920,2,288,0.00781842021200274,false,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured. | All 17 supplied u rungs per analysis entry are retained, including clamped and exception flags. Permutation-null MC SE is not training-seed SE.",percentage points of explained variance; u in output-channel row units
trajectory,probes_fz3/probe_r10_w_s0,r10,r10  frozen,2000,false,K01,S0622,3,8,1/8,0.125,0.0686785095366172,false,23104,3,576,0.00626504346104745,false,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured. | All 17 supplied u rungs per analysis entry are retained, including clamped and exception flags. Permutation-null MC SE is not training-seed SE.",percentage points of explained variance; u in output-channel row units
trajectory,probes_fz3/probe_r10_w_s0,r10,r10  frozen,2000,false,K01,S0622,3,9,1/4,0.25,0.0722605280393859,false,11511,7,1152,0.00655007340726469,false,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured. | All 17 supplied u rungs per analysis entry are retained, including clamped and exception flags. Permutation-null MC SE is not training-seed SE.",percentage points of explained variance; u in output-channel row units
trajectory,probes_fz3/probe_r10_w_s0,r10,r10  frozen,2000,false,K01,S0622,3,10,1/2,0.5,0.0641060778670437,false,5756,14,2304,0.00301833266083006,false,"Convolution tensors only; p_i = negative_count_i / n_records. E is neither rho nor test accuracy. res_pp is the Monte Carlo SE of three permutation-null draws, not training-seed uncertainty. The existence of an interior maximum is mechanical; location is the finding. Four clean lower-edge peaks are bounds. The 33 analysis entries contain 32 unique runs. A freely adapting coarse-granularity field remains unmeasured. | All 17 supplied u rungs per analysis entry are retained, including clamped and exception flags. Permutation-null MC SE is not training-seed SE.",percentage points of explained variance; u in output-channel row units
