dataset_id,filename,column,data_type,unit,definition
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,batch,text,label,Verbatim source label or explicit export label; not a numeric measurement.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,arm,text,label,Verbatim source label or explicit export label; not a numeric measurement.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,label,text,label,Verbatim source label or explicit export label; not a numeric measurement.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,horizon,number,epochs,Registered completed-epoch endpoint; plateau5 uses horizon-5 through horizon-1.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,group_count,all blank / unavailable,count,"Tensor, group, coordinate, or block count as named; do not interchange tensor count and coordinate mass."
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,normalized_tensor_count_entropy,all blank / unavailable,dimensionless,Supplied normalized tensor-count entropy; not parameter-mass balance.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,r,all blank / unavailable,test accuracy percent; differences and SD/SE in percentage points,Supplied flat evidence field; exact quantity is specified by the dataset metric and scope.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,meta_stepsize,all blank / unavailable,test accuracy percent; differences and SD/SE in percentage points,Supplied flat evidence field; exact quantity is specified by the dataset metric and scope.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,meta_optimizer,all blank / unavailable,label,Verbatim source label or explicit export label; not a numeric measurement.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,capture_fraction,number,fraction,(arm mean - in-batch scalar mean)/(in-batch layerwise mean - scalar mean).
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,plateau_window_start_epoch,number,test accuracy percent; differences and SD/SE in percentage points,Supplied flat evidence field; exact quantity is specified by the dataset metric and scope.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,plateau_window_end_epoch,number,test accuracy percent; differences and SD/SE in percentage points,Supplied flat evidence field; exact quantity is specified by the dataset metric and scope.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,config_network,text,configuration,Original run configuration field; missing/unknown legacy values are retained.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,config_dataset,text,configuration,Original run configuration field; missing/unknown legacy values are retained.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,config_batch_size,text,configuration,Original run configuration field; missing/unknown legacy values are retained.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,config_granularity,text,configuration,Original run configuration field; missing/unknown legacy values are retained.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,config_base,text,configuration,Original run configuration field; missing/unknown legacy values are retained.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,config_meta,text,configuration,Original run configuration field; missing/unknown legacy values are retained.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,config_meta_stepsize,text,configuration,Original run configuration field; missing/unknown legacy values are retained.
mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,config_alpha0,text,configuration,Original run configuration field; missing/unknown legacy values are retained.
