collection,panel_id,panel_title,entry_ids,metric,units,scope,notes,evidence_level,panel_source_ids,evidence_file,evidence_json_pointer,dataset_id,filename,role,row_count,column_count,sha256
mechanism,head_ablation,The head split does not explain the gap,MT137,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`hb1`, 18 runs, CIFAR-100/`ResNet18_c100`, 100 ep, ONE batch","Three seeds per arm, same100-epoch batch. | Head specificity=head capture−max(stem,midpoint) capture.",raw epoch reconstruction,S0019 | S0020 | S0021,publication-workspace/work/full_mechanism_evidence.json,/panels/head_ablation/rows,mechanism.head_ablation.arm_summary,mechanism__head_ablation__arm_summary.csv,arm_summary,6,42,6cb7817ae657041ea4db3d5256b9258168da5cbfb4f2a431249bbc9675c5e487
mechanism,head_ablation,The head split does not explain the gap,MT137,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`hb1`, 18 runs, CIFAR-100/`ResNet18_c100`, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.","Three seeds per arm, same100-epoch batch. | Head specificity=head capture−max(stem,midpoint) capture.",raw epoch reconstruction,S0019 | S0020 | S0021,publication-workspace/work/full_mechanism_evidence.json,/panels/head_ablation/rows,mechanism.head_ablation.per_seed,mechanism__head_ablation__per_seed.csv,per_seed,18,34,647fa17b694a640ffea18b3b69671c9f254abe20deceb02c74092a13021ae5c4
mechanism,head_ablation,The head split does not explain the gap,MT137,Raw per-epoch test and train accuracy,accuracy percent; epoch is the raw zero-based epoch index,"`hb1`, 18 runs, CIFAR-100/`ResNet18_c100`, 100 ep, ONE batch | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.","Three seeds per arm, same100-epoch batch. | Head specificity=head capture−max(stem,midpoint) capture.",raw epoch reconstruction,S0019 | S0020 | S0021,publication-workspace/work/full_mechanism_evidence.json,/panels/head_ablation; /batches/*/runs,mechanism.head_ablation.epoch_curves,mechanism__head_ablation__epoch_curves.csv,epoch_curves,1800,13,e01d732665e749064dfd17cd386d41faa31a06c303cdbe1a8b61047d54d7f455
mechanism,count_and_tensor_balance,"Count, balance, and mirror controls",MT139,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch","Tensor-count entropy is not parameter-mass balance. | Mirror [17,45]/[45,17] has identical entropy but differs by16.5393pp. | These data do not establish that position dominates group count.",raw epoch reconstruction,S0055 | S0056 | S0057,publication-workspace/work/full_mechanism_evidence.json,/panels/count_and_tensor_balance/rows,mechanism.count_and_tensor_balance.arm_summary,mechanism__count_and_tensor_balance__arm_summary.csv,arm_summary,11,42,7571027be73dfff1727f980c4e42bea646b113f6d854886183e3f474e1bf1d2c
mechanism,count_and_tensor_balance,"Count, balance, and mirror controls",MT139,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Each row is one run's registered five-epoch mean; sample count across runs appears in arm_summary.","Tensor-count entropy is not parameter-mass balance. | Mirror [17,45]/[45,17] has identical entropy but differs by16.5393pp. | These data do not establish that position dominates group count.",raw epoch reconstruction,S0055 | S0056 | S0057,publication-workspace/work/full_mechanism_evidence.json,/panels/count_and_tensor_balance/rows,mechanism.count_and_tensor_balance.per_seed,mechanism__count_and_tensor_balance__per_seed.csv,per_seed,33,34,1b1a6e67d978f2ba7bd1d8b0695674ea940e48d9f408717dafe3ad3c9c11ac6d
mechanism,count_and_tensor_balance,"Count, balance, and mirror controls",MT139,Raw per-epoch test and train accuracy,accuracy percent; epoch is the raw zero-based epoch index,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Full available curve retained; registered_horizon and in_registered_plateau5_window identify the primary endpoint. Epoch observations are not independent seeds.","Tensor-count entropy is not parameter-mass balance. | Mirror [17,45]/[45,17] has identical entropy but differs by16.5393pp. | These data do not establish that position dominates group count.",raw epoch reconstruction,S0055 | S0056 | S0057,publication-workspace/work/full_mechanism_evidence.json,/panels/count_and_tensor_balance; /batches/*/runs,mechanism.count_and_tensor_balance.epoch_curves,mechanism__count_and_tensor_balance__epoch_curves.csv,epoch_curves,3300,13,7942b659ff63dbf2aea0c7f8a264c54a8dc6bc48000ce793cf0abf066c8a3889
mechanism,count_and_tensor_balance,"Count, balance, and mirror controls",MT139,Number of parameter tensors assigned to each group,tensors,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Tensor counts are distinct from parameter-coordinate mass.","Tensor-count entropy is not parameter-mass balance. | Mirror [17,45]/[45,17] has identical entropy but differs by16.5393pp. | These data do not establish that position dominates group count.",raw epoch reconstruction,S0055 | S0056 | S0057,publication-workspace/work/full_mechanism_evidence.json,/panels/count_and_tensor_balance/rows/*/tensor_group_sizes,mechanism.count_and_tensor_balance.tensor_groups,mechanism__count_and_tensor_balance__tensor_groups.csv,tensor_groups,133,8,8dd5cdb6cdc6ee288a2d30211c5c84d57416aae4a0682ca09a8ba1c85a69f388
mechanism,count_and_tensor_balance,"Count, balance, and mirror controls",MT139,Minuend minus subtrahend TEST plateau5,percentage points,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch | Descriptive unpaired SE and paired seed SD/SE are separate; neither substitutes for a registered pooled/prior scoring bar.","Tensor-count entropy is not parameter-mass balance. | Mirror [17,45]/[45,17] has identical entropy but differs by16.5393pp. | These data do not establish that position dominates group count.",raw epoch reconstruction,S0055 | S0056 | S0057,publication-workspace/work/full_mechanism_evidence.json,/panels/count_and_tensor_balance/contrasts,mechanism.count_and_tensor_balance.contrasts,mechanism__count_and_tensor_balance__contrasts.csv,contrasts,1,16,4fdfa974548229f801e8a4da67eb0d85125e9b7edfeb4ec4f43a4dbf5aa0aafc
mechanism,count_and_tensor_balance,"Count, balance, and mirror controls",MT139,Paired-seed difference in TEST plateau5,percentage points,"`cbl1`, 33 runs, CIFAR-100/`ResNet18_c100`, `ms=1e-3`, `alpha0=1e-6`, 100 ep, ONE batch","Tensor-count entropy is not parameter-mass balance. | Mirror [17,45]/[45,17] has identical entropy but differs by16.5393pp. | These data do not establish that position dominates group count.",raw epoch reconstruction,S0055 | S0056 | S0057,publication-workspace/work/full_mechanism_evidence.json,/panels/count_and_tensor_balance/contrasts,mechanism.count_and_tensor_balance.paired_seed_contrasts,mechanism__count_and_tensor_balance__paired_seed_contrasts.csv,paired_seed_contrasts,3,10,97f36d0c90d97725aeb170b7afec6e1c360d1e9bc045d8e7cefc91bff850857d
mechanism,imagenet489,ImageNet-489: gap and count ladder,MT140 | MT151,"TEST plateau5, percent accuracy",test accuracy percent; differences and SD/SE in percentage points,"`in489g1`, 12 runs, ImageNet-489 | `in489g2`, 14 runs, ImageNet-489","in489g1 primary is COMMON80epochs (three seeds); in489g2 is84epochs(two seeds). | Do not combine their means or uncertainty. | 489classes, not1000; use batch-specific anchors for capture. | in489g1 scalar/block arms fail the5% learned-floor gate: BLOCK/GRAN unresolved.",raw epoch reconstruction,S0084 | S0085 | S0086 | S0087 | S0088 | S0089,publication-workspace/work/full_mechanism_evidence.json,/panels/imagenet489/rows,mechanism.imagenet489.arm_summary,mechanism__imagenet489__arm_summary.csv,arm_summary,11,42,8ba58963001ff300dc8beee94bac6f7e318095233d283080b4805424dcb84a3f
